SUBJECT,HOUSEHOLD,SEX,AGE_YEAR,CONSUMPTION_DAY,sum_VITA_RAE_mcg,sum_FOLDFE_mcg,sum_IRON_mg,sum_ZINC_mg,sum_VITB12_mcg,WEEKEND,adm2_,adm2_8,adm2_9,adm2_2,adm2_1,adm2_6,adm2_3,adm2_7,adm2_4,adm2_5
31299,4133,2,20,7,246,250,14.629999999999999,10.05,NA,1,8,1,0,0,0,0,0,0,0,0
31322,4752,2,32,28,1,48,5.1499999999999995,3.4699999999999998,NA,0,4,0,0,0,0,0,0,0,1,0
31323,8144,2,70,1,25,81,6.549999999999999,4.109999999999999,NA,1,3,0,0,0,0,0,1,0,0,0
31347,2991,2,37,29,5,178,19.57,14,NA,0,6,0,0,0,0,1,0,0,0,0
31353,8380,2,39,10,14,117,11.729999999999999,6.999999999999998,NA,0,6,0,0,0,0,1,0,0,0,0
31358,10253,2,30,14,40,154,13.91,10.129999999999997,NA,0,8,1,0,0,0,0,0,0,0,0
31386,8714,2,63,30,13,323,30.979999999999997,20.1,NA,0,4,0,0,0,0,0,0,0,1,0
31411,8107,2,23,15,1,178,17.76,15.49,NA,0,8,1,0,0,0,0,0,0,0,0
31533,6545,2,57,22,5,51,6.4,3.4699999999999998,NA,0,6,0,0,0,0,1,0,0,0,0
31537,2703,2,28,16,8,152,11.73,8.989999999999998,NA,0,9,0,1,0,0,0,0,0,0,0
31588,10340,2,40,23,139,134,4.72,3.08,NA,0,1,0,0,0,1,0,0,0,0,0
31589,5295,2,50,10,18,111,8.719999999999999,6.059999999999999,NA,0,8,1,0,0,0,0,0,0,0,0
31601,11803,2,18,6,30,95,11.08,6.82,NA,0,4,0,0,0,0,0,0,0,1,0
31607,2568,2,23,12,1,52,4.43,4.46,NA,0,8,1,0,0,0,0,0,0,0,0
31704,10427,2,30,14,851,668,16.78,12.379999999999999,NA,0,9,0,1,0,0,0,0,0,0,0
31733,6150,2,18,18,20,182,14.87,9.349999999999998,NA,0,5,0,0,0,0,0,0,0,0,1
31827,5120,2,18,11,19,84,5.029999999999999,4.609999999999999,NA,0,2,0,0,1,0,0,0,0,0,0
31890,8420,2,28,20,4,48,2.98,3.69,NA,0,5,0,0,0,0,0,0,0,0,1
31935,3722,2,20,5,24,121,5.790000000000001,5.85,NA,0,8,1,0,0,0,0,0,0,0,0
31936,5882,2,42,15,55,225,26.680000000000003,18.15,NA,0,8,1,0,0,0,0,0,0,0,0
31939,10864,2,27,4,11,99,9,6.99,NA,0,8,1,0,0,0,0,0,0,0,0
31959,10640,2,38,13,3,118,11.54,7.53,NA,0,2,0,0,1,0,0,0,0,0,0
31971,3232,2,22,9,9,115,11.270000000000001,7.699999999999999,NA,0,8,1,0,0,0,0,0,0,0,0
31989,8356,2,22,28,40,300,24.080000000000002,18.27,NA,0,2,0,0,1,0,0,0,0,0,0
32021,8931,2,60,10,5,42,3.6100000000000003,2.53,NA,0,8,1,0,0,0,0,0,0,0,0
32030,4402,2,26,22,75,191,19.4,12.200000000000001,NA,0,8,1,0,0,0,0,0,0,0,0
32047,9894,2,30,18,68,148,12.480000000000004,8.559999999999999,NA,0,8,1,0,0,0,0,0,0,0,0
32079,174,2,52,8,2,98,9.87,7.01,NA,0,3,0,0,0,0,0,1,0,0,0
32101,2836,2,38,29,1241,372,33.37,20.71,NA,0,5,0,0,0,0,0,0,0,0,1
32156,11289,2,57,19,22,119,22.349999999999998,11.549999999999999,NA,0,6,0,0,0,0,1,0,0,0,0
32183,11549,2,35,18,13,121,11.06,7.469999999999999,NA,0,5,0,0,0,0,0,0,0,0,1
32237,5780,2,43,1,5,76,6.17,4.69,NA,1,1,0,0,0,1,0,0,0,0,0
32253,7848,2,54,14,29,147,14.82,9.49,NA,0,9,0,1,0,0,0,0,0,0,0
32267,5201,2,26,14,33,107,8.7,7.1,NA,0,8,1,0,0,0,0,0,0,0,0
32270,2290,2,60,11,45,88,7.05,4.3999999999999995,NA,0,3,0,0,0,0,0,1,0,0,0
32300,10298,2,59,15,112,190,12.680000000000001,9.9,NA,0,2,0,0,1,0,0,0,0,0,0
32308,10403,2,28,10,52,165,11.429999999999998,8.12,NA,0,1,0,0,0,1,0,0,0,0,0
32323,2809,2,36,11,6,213,22.98,17.240000000000002,NA,0,3,0,0,0,0,0,1,0,0,0
32349,5892,2,40,24,18,178,19.8,13.97,NA,0,9,0,1,0,0,0,0,0,0,0
32368,1759,2,43,23,72,171,9.280000000000001,6.209999999999999,NA,0,5,0,0,0,0,0,0,0,0,1
32389,10065,2,25,18,6,136,11.159999999999998,8.7,NA,0,5,0,0,0,0,0,0,0,0,1
32404,6020,2,30,20,10,52,5.65,4.199999999999999,NA,0,6,0,0,0,0,1,0,0,0,0
32444,11416,2,22,21,123,229,19.380000000000003,14.67,NA,0,9,0,1,0,0,0,0,0,0,0
32481,9394,2,38,24,26,220,16.33,11.13,NA,0,3,0,0,0,0,0,1,0,0,0
32482,3606,2,55,1,17,131,8.74,5.819999999999998,NA,1,1,0,0,0,1,0,0,0,0,0
32545,5398,2,42,27,34,68,4.92,3.65,NA,0,4,0,0,0,0,0,0,0,1,0
32551,10038,2,37,29,54,249,21.5,14.989999999999998,NA,0,7,0,0,0,0,0,0,1,0,0
32575,10736,2,32,8,31,134,13.43,10.129999999999999,NA,0,8,1,0,0,0,0,0,0,0,0
32617,6839,2,32,29,2,77,9.359999999999998,6.3599999999999985,NA,0,7,0,0,0,0,0,0,1,0,0
32623,11168,2,38,16,33,122,9.6,7.6899999999999995,NA,0,8,1,0,0,0,0,0,0,0,0
32627,2952,2,58,23,522,109,21.269999999999996,8.5,NA,0,7,0,0,0,0,0,0,1,0,0
32683,9834,2,40,5,7,171,20.910000000000004,16.440000000000005,NA,0,8,1,0,0,0,0,0,0,0,0
32718,8440,2,28,3,8,83,8.29,5.66,NA,0,1,0,0,0,1,0,0,0,0,0
32742,9974,2,37,3,95,145,11.07,7.25,NA,0,8,1,0,0,0,0,0,0,0,0
32748,11432,2,18,26,15,315,28.810000000000002,19.189999999999998,NA,0,3,0,0,0,0,0,1,0,0,0
32776,2053,2,75,18,56,121,9.8,7.259999999999998,NA,0,9,0,1,0,0,0,0,0,0,0
32898,4880,2,42,7,8,202,21.62,16.4,NA,1,9,0,1,0,0,0,0,0,0,0
32899,4307,2,32,21,22,261,35.31999999999999,24.16,NA,0,7,0,0,0,0,0,0,1,0,0
32932,3174,2,44,14,29,261,13.609999999999996,8.569999999999999,NA,0,2,0,0,1,0,0,0,0,0,0
32956,6102,2,44,21,79,127,14.2,10.43,NA,0,4,0,0,0,0,0,0,0,1,0
33035,10358,2,40,8,93,323,18.060000000000002,12.53,NA,0,3,0,0,0,0,0,1,0,0,0
33059,11478,2,35,21,10,93,6.629999999999999,4.789999999999999,NA,0,4,0,0,0,0,0,0,0,1,0
33094,11367,2,54,6,4,152,14.789999999999997,11.18,NA,0,1,0,0,0,1,0,0,0,0,0
33181,5991,2,36,4,1,124,11.16,7.53,NA,0,3,0,0,0,0,0,1,0,0,0
33201,3233,2,53,9,1,132,12.950000000000001,8.27,NA,0,9,0,1,0,0,0,0,0,0,0
33203,398,2,70,21,51,177,12.609999999999998,8.459999999999999,NA,0,9,0,1,0,0,0,0,0,0,0
33211,7724,2,54,1,214,66,10.2,5.73,NA,1,1,0,0,0,1,0,0,0,0,0
33212,10119,2,55,14,50,210,16.62,9.649999999999999,NA,0,8,1,0,0,0,0,0,0,0,0
33270,6397,2,56,18,17,211,16.77,12.48,NA,0,5,0,0,0,0,0,0,0,0,1
33274,8753,2,52,16,46,221,17.65,12.809999999999997,NA,0,8,1,0,0,0,0,0,0,0,0
33293,10178,2,52,16,134,102,7.119999999999999,5.47,NA,0,8,1,0,0,0,0,0,0,0,0
33367,3722,2,45,5,23,180,16.380000000000003,12.670000000000002,NA,0,8,1,0,0,0,0,0,0,0,0
33370,9716,2,32,25,22,179,15.579999999999997,11.83,NA,0,6,0,0,0,0,1,0,0,0,0
33379,529,2,68,12,49,114,9.64,6.51,NA,0,8,1,0,0,0,0,0,0,0,0
33398,8702,2,29,29,11,161,10.92,7.81,NA,0,6,0,0,0,0,1,0,0,0,0
33422,11779,2,21,8,15,144,11.680000000000001,8.899999999999999,NA,0,8,1,0,0,0,0,0,0,0,0
33451,8285,2,24,9,48,123,11.1,8.389999999999999,NA,0,8,1,0,0,0,0,0,0,0,0
33471,3606,2,32,1,13,140,9.950000000000001,8.649999999999999,NA,1,1,0,0,0,1,0,0,0,0,0
33474,5456,2,25,2,26,104,12.65,7.849999999999999,NA,0,4,0,0,0,0,0,0,0,1,0
33503,4661,2,30,6,67,136,13.41,9.899999999999999,NA,0,1,0,0,0,1,0,0,0,0,0
33519,2301,2,34,3,34,165,10.83,7.26,NA,0,9,0,1,0,0,0,0,0,0,0
33533,2874,2,36,25,567,181,16.119999999999997,10.66,NA,0,6,0,0,0,0,1,0,0,0,0
33569,2398,2,48,31,43,214,23.91,16.51000000000001,NA,0,7,0,0,0,0,0,0,1,0,0
33665,10897,2,70,26,15,97,13.96,7.83,NA,0,4,0,0,0,0,0,0,0,1,0
33724,3288,2,35,8,60,214,12.120000000000001,8.129999999999999,NA,0,8,1,0,0,0,0,0,0,0,0
33755,11182,2,65,22,15,75,3.04,1.79,NA,0,2,0,0,1,0,0,0,0,0,0
33773,5551,2,30,10,85,99,6.700000000000001,4.82,NA,0,9,0,1,0,0,0,0,0,0,0
33806,5241,2,66,13,8,186,17.790000000000003,11.219999999999999,NA,0,1,0,0,0,1,0,0,0,0,0
33833,513,2,18,10,97,73,3.9399999999999995,2.3599999999999994,NA,0,2,0,0,1,0,0,0,0,0,0
33863,4287,2,50,4,177,207,17.069999999999997,12.809999999999999,NA,0,4,0,0,0,0,0,0,0,1,0
33867,3925,2,54,13,102,218,12.739999999999998,11.879999999999997,NA,0,1,0,0,0,1,0,0,0,0,0
33901,657,2,56,7,33,99,12.38,8.040000000000001,NA,1,7,0,0,0,0,0,0,1,0,0
33973,1352,2,32,16,5,151,15.91,12.86,NA,0,8,1,0,0,0,0,0,0,0,0
33988,6176,2,65,25,13,122,13.35,8.94,NA,0,7,0,0,0,0,0,0,1,0,0
33995,6619,2,40,21,123,222,16.009999999999998,9.729999999999999,NA,0,3,0,0,0,0,0,1,0,0,0
34006,10987,2,30,25,118,188,13.02,9.059999999999999,NA,0,4,0,0,0,0,0,0,0,1,0
34017,2146,2,25,10,213,113,8.91,6.73,NA,0,6,0,0,0,0,1,0,0,0,0
34110,8859,2,32,22,5,148,11.03,9.07,NA,0,2,0,0,1,0,0,0,0,0,0
34117,3101,2,65,27,236,294,29.78000000000001,18.669999999999998,NA,0,7,0,0,0,0,0,0,1,0,0
34120,1909,2,18,3,76,165,15.430000000000001,10.989999999999998,NA,0,9,0,1,0,0,0,0,0,0,0
34134,6438,2,65,8,259,202,9.99,6.78,NA,0,4,0,0,0,0,0,0,0,1,0
34169,3503,2,25,22,10,100,9.5,6.279999999999999,NA,0,8,1,0,0,0,0,0,0,0,0
34231,9390,2,52,10,80,236,13.78,9.349999999999998,NA,0,1,0,0,0,1,0,0,0,0,0
34232,7843,2,85,9,24,78,25.18,4.52,NA,0,7,0,0,0,0,0,0,1,0,0
34242,2178,2,18,10,61,176,14.049999999999997,9.49,NA,0,1,0,0,0,1,0,0,0,0,0
34256,679,2,54,25,301,365,42.48000000000001,28.33,NA,0,7,0,0,0,0,0,0,1,0,0
34290,7926,2,19,12,32,127,9.13,6.17,NA,0,2,0,0,1,0,0,0,0,0,0
34303,9670,2,35,18,2,86,7.43,5.079999999999999,NA,0,5,0,0,0,0,0,0,0,0,1
34309,11400,2,23,10,42,266,18.95,12.829999999999997,NA,0,1,0,0,0,1,0,0,0,0,0
34329,587,2,20,13,65,122,13.5,8.31,NA,0,9,0,1,0,0,0,0,0,0,0
34332,10617,2,75,15,86,204,16.3,11.34,NA,0,8,1,0,0,0,0,0,0,0,0
34379,5784,2,32,7,29,174,23.73,16.019999999999996,NA,1,7,0,0,0,0,0,0,1,0,0
34397,4529,2,60,30,39,73,7.879999999999999,6.21,NA,0,4,0,0,0,0,0,0,0,1,0
34403,3848,2,57,18,33,142,10.55,7.95,NA,0,1,0,0,0,1,0,0,0,0,0
34408,1710,2,24,18,167,212,10.92,7.220000000000001,NA,0,9,0,1,0,0,0,0,0,0,0
34409,4942,2,28,18,4,155,15.48,12.45,NA,0,5,0,0,0,0,0,0,0,0,1
34410,6920,2,60,10,20,102,11.66,7.63,NA,0,6,0,0,0,0,1,0,0,0,0
34416,5892,2,19,24,18,192,21.679999999999996,15.3,NA,0,9,0,1,0,0,0,0,0,0,0
34439,7698,2,26,16,22,169,14.170000000000002,9.1,NA,0,5,0,0,0,0,0,0,0,0,1
34461,9602,2,19,1,384,247,23.14,13.27,NA,1,7,0,0,0,0,0,0,1,0,0
34487,5668,2,43,18,687,266,9.219999999999997,4.65,NA,0,5,0,0,0,0,0,0,0,0,1
34531,830,2,18,8,31,163,13.739999999999998,9.7,NA,0,8,1,0,0,0,0,0,0,0,0
34538,2336,2,42,19,11,104,9.590000000000002,6.989999999999999,NA,0,3,0,0,0,0,0,1,0,0,0
34625,11668,2,24,8,27,248,19.740000000000002,14.45,NA,0,4,0,0,0,0,0,0,0,1,0
34638,5009,2,55,12,37,233,13.83,7.4399999999999995,NA,0,6,0,0,0,0,1,0,0,0,0
34675,9153,2,26,1,74,112,49.120000000000005,9.82,NA,1,7,0,0,0,0,0,0,1,0,0
34746,9654,2,27,13,97,218,18.229999999999997,12.509999999999996,NA,0,9,0,1,0,0,0,0,0,0,0
34787,2594,2,21,12,23,242,14.099999999999998,6.909999999999999,NA,0,6,0,0,0,0,1,0,0,0,0
34789,9708,2,26,27,11,133,14.979999999999999,11.499999999999996,NA,0,7,0,0,0,0,0,0,1,0,0
34850,4152,2,85,14,8,157,15.58,10.77,NA,0,2,0,0,1,0,0,0,0,0,0
34887,5225,2,60,3,3778,170,17.080000000000002,11.99,NA,0,9,0,1,0,0,0,0,0,0,0
34937,7367,2,36,3,62,183,17.549999999999997,11.49,NA,0,7,0,0,0,0,0,0,1,0,0
34961,3494,2,20,14,44,156,19.430000000000007,12.239999999999998,NA,0,6,0,0,0,0,1,0,0,0,0
34966,7444,2,58,11,15,136,11.02,9.24,NA,0,8,1,0,0,0,0,0,0,0,0
34968,9331,2,50,25,2,88,7.76,5.7299999999999995,NA,0,1,0,0,0,1,0,0,0,0,0
35088,1605,2,47,14,115,525,33.41,21.22,NA,0,6,0,0,0,0,1,0,0,0,0
35101,636,2,75,20,1,97,11.919999999999998,8.459999999999999,NA,0,6,0,0,0,0,1,0,0,0,0
35143,1761,2,30,20,17,153,9.26,7.43,NA,0,5,0,0,0,0,0,0,0,0,1
35154,2220,2,64,3,36,406,22.04,14.45,NA,0,7,0,0,0,0,0,0,1,0,0
35167,7404,2,50,29,24,35,3.26,2.2399999999999998,NA,0,7,0,0,0,0,0,0,1,0,0
35174,1393,2,42,17,6,124,14.54,9.85,NA,0,6,0,0,0,0,1,0,0,0,0
35175,9358,2,62,14,9,147,7.680000000000001,6.890000000000001,NA,0,1,0,0,0,1,0,0,0,0,0
35182,2411,2,30,10,12,58,3.95,3.02,NA,0,2,0,0,1,0,0,0,0,0,0
35357,8144,2,35,1,59,169,11.310000000000002,7.17,NA,1,3,0,0,0,0,0,1,0,0,0
35366,9576,2,48,5,8,121,51.29,9.129999999999999,NA,0,7,0,0,0,0,0,0,1,0,0
35445,6067,2,51,27,143,328,36.38999999999999,25.259999999999998,NA,0,7,0,0,0,0,0,0,1,0,0
35459,9480,2,58,29,43,90,8.77,5.64,NA,0,7,0,0,0,0,0,0,1,0,0
35468,11184,2,18,3,8,95,12.320000000000002,8.149999999999999,NA,0,8,1,0,0,0,0,0,0,0,0
35475,6425,2,80,2,74,180,22.23,15.2,NA,0,7,0,0,0,0,0,0,1,0,0
35587,7209,2,23,23,341,419,29.85,14.889999999999997,NA,0,3,0,0,0,0,0,1,0,0,0
35742,7202,2,65,21,32,145,12.659999999999997,8.629999999999999,NA,0,3,0,0,0,0,0,1,0,0,0
35755,6438,2,36,8,410,366,22.68,15.479999999999997,NA,0,4,0,0,0,0,0,0,0,1,0
35837,6279,2,40,20,18,103,14.53,8.02,NA,0,5,0,0,0,0,0,0,0,0,1
35841,208,2,37,7,54,186,16.11,11.479999999999999,NA,1,9,0,1,0,0,0,0,0,0,0
35854,7791,2,58,20,17,179,9.6,7.119999999999999,NA,0,5,0,0,0,0,0,0,0,0,1
35945,2357,2,21,8,14,167,13.629999999999997,9.83,NA,0,4,0,0,0,0,0,0,0,1,0
36072,4776,2,32,9,37,140,10.700000000000001,6.879999999999998,NA,0,2,0,0,1,0,0,0,0,0,0
36107,2600,2,42,24,3,114,8.61,6.37,NA,0,2,0,0,1,0,0,0,0,0,0
36132,2734,2,65,3,1,72,8.74,6.349999999999999,NA,0,1,0,0,0,1,0,0,0,0,0
36153,333,2,21,9,28,175,13.049999999999999,8.209999999999999,NA,0,2,0,0,1,0,0,0,0,0,0
36168,10145,2,18,20,17,212,10.46,7.07,NA,0,5,0,0,0,0,0,0,0,0,1
36176,9578,2,45,22,8,171,12.639999999999999,9.139999999999999,NA,0,2,0,0,1,0,0,0,0,0,0
36184,7550,2,19,13,107,128,13.040000000000003,9.55,NA,0,2,0,0,1,0,0,0,0,0,0
36200,5448,2,45,30,24,205,15.29,9.75,NA,0,4,0,0,0,0,0,0,0,1,0
36210,8792,2,40,25,6,144,17.230000000000004,12.44,NA,0,7,0,0,0,0,0,0,1,0,0
36242,2591,2,60,21,1,104,11.510000000000002,9.62,NA,0,9,0,1,0,0,0,0,0,0,0
36243,2744,2,21,13,9,131,8.29,6.71,NA,0,2,0,0,1,0,0,0,0,0,0
36256,194,2,60,15,314,216,11.69,7.36,NA,0,9,0,1,0,0,0,0,0,0,0
36260,2084,2,42,3,0,70,6.56,5.35,NA,0,1,0,0,0,1,0,0,0,0,0
36268,7707,2,36,27,17,231,90.63,19.44,NA,0,7,0,0,0,0,0,0,1,0,0
36295,10712,2,45,4,21,172,13.610000000000001,9.2,NA,0,3,0,0,0,0,0,1,0,0,0
36386,636,2,32,20,3,197,24.099999999999998,17.09,NA,0,6,0,0,0,0,1,0,0,0,0
36403,4796,2,56,10,1,146,10.77,7.789999999999998,NA,0,1,0,0,0,1,0,0,0,0,0
36438,10754,2,47,6,8,120,9.5,6.459999999999999,NA,0,5,0,0,0,0,0,0,0,0,1
