SUBJECT,HOUSEHOLD,SEX,AGE_YEAR,CONSUMPTION_DAY,WEEK_DAY,PREG_LACT,BREASTFEEDING,sum_ENERGY_kcal,WEEKEND,adm2_,adm2_7,adm2_9,adm2_5,adm2_4,adm2_6,adm2_1,adm2_8,adm2_2,adm2_3,adm2_10
6432,5522,2,35,8,4,1,NA,1754,0,7,1,0,0,0,0,0,0,0,0,0
6434,5246,2,43,6,2,1,NA,1544,0,6,0,0,0,0,1,0,0,0,0,0
6443,8282,2,65,3,6,0,NA,1245,0,9,0,1,0,0,0,0,0,0,0,0
6551,11396,2,48,6,6,1,NA,1613,0,5,0,0,1,0,0,0,0,0,0,0
6587,6349,2,33,25,2,1,NA,2258,0,9,0,1,0,0,0,0,0,0,0,0
6602,1768,2,35,4,7,1,NA,1019,1,7,1,0,0,0,0,0,0,0,0,0
6624,8728,2,70,30,4,0,NA,1331,0,1,0,0,0,0,0,1,0,0,0,0
6649,11178,2,65,25,6,0,NA,1005,0,1,0,0,0,0,0,1,0,0,0,0
6657,7769,2,68,21,5,0,NA,1193,0,5,0,0,1,0,0,0,0,0,0,0
6663,8869,2,45,23,6,1,NA,680,0,6,0,0,0,0,1,0,0,0,0,0
6666,433,2,30,22,5,1,NA,1573,0,6,0,0,0,0,1,0,0,0,0,0
6731,4070,2,23,18,1,1,NA,735,1,8,0,0,0,0,0,0,1,0,0,0
6770,8609,2,27,15,5,1,NA,1136,0,8,0,0,0,0,0,0,1,0,0,0
6799,6986,2,42,20,5,1,NA,2185,0,3,0,0,0,0,0,0,0,0,1,0
6802,5513,2,65,13,5,0,NA,1353,0,10,0,0,0,0,0,0,0,0,0,1
6812,2649,2,18,4,3,1,NA,2009,0,5,0,0,1,0,0,0,0,0,0,0
6816,3813,2,35,23,1,1,NA,2207,1,10,0,0,0,0,0,0,0,0,0,1
6856,10004,2,19,2,5,1,NA,1696,0,6,0,0,0,0,1,0,0,0,0,0
6857,6459,2,35,31,3,1,NA,1063,0,7,1,0,0,0,0,0,0,0,0,0
6875,10644,2,58,5,5,0,NA,948,0,6,0,0,0,0,1,0,0,0,0,0
6899,10409,2,65,6,2,0,NA,1087,0,7,1,0,0,0,0,0,0,0,0,0
6900,3354,2,50,29,3,0,NA,1820,0,1,0,0,0,0,0,1,0,0,0,0
6919,916,2,35,16,4,1,NA,2440,0,9,0,1,0,0,0,0,0,0,0,0
6940,7865,2,36,2,6,1,NA,1495,0,1,0,0,0,0,0,1,0,0,0,0
6990,7304,2,70,6,3,0,NA,816,0,1,0,0,0,0,0,1,0,0,0,0
7013,6688,2,32,14,4,1,NA,1871,0,7,1,0,0,0,0,0,0,0,0,0
7035,4182,2,30,19,5,1,NA,1036,0,2,0,0,0,0,0,0,0,1,0,0
7048,71,2,24,19,5,1,NA,2392,0,2,0,0,0,0,0,0,0,1,0,0
7056,894,2,25,13,5,1,NA,1077,0,10,0,0,0,0,0,0,0,0,0,1
7097,833,2,35,11,4,1,NA,1060,0,10,0,0,0,0,0,0,0,0,0,1
7101,3944,2,42,22,5,1,NA,1207,0,6,0,0,0,0,1,0,0,0,0,0
7140,3537,2,26,29,5,1,NA,1929,0,5,0,0,1,0,0,0,0,0,0,0
7188,623,2,34,19,7,1,NA,1456,1,4,0,0,0,1,0,0,0,0,0,0
7202,4416,2,18,24,5,1,NA,1217,0,1,0,0,0,0,0,1,0,0,0,0
