SUBJECT,HOUSEHOLD,SEX,AGE_YEAR,CONSUMPTION_DAY,WEEK_DAY,PREG_LACT,BREASTFEEDING,sum_ENERGY_kcal,WEEKEND,adm2_,adm2_9,adm2_14,adm2_15,adm2_12,adm2_1,adm2_3,adm2_8,adm2_10,adm2_11,adm2_4,adm2_13,adm2_7,adm2_2,adm2_5,adm2_6
18453,5282,2,37,12,4,1,NA,1643,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
18466,10603,2,19,29,1,1,NA,1484,1,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18540,6735,2,36,26,7,1,NA,1991,1,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18578,272,2,32,8,2,1,NA,1360,0,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
18591,5144,2,55,2,6,0,NA,1933,0,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
18621,6910,2,22,20,1,1,NA,1252,1,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
18624,4941,2,35,29,3,1,NA,1921,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
18662,8670,2,22,5,4,1,NA,2654,0,11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
18700,4877,2,60,25,7,0,NA,1927,1,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
18731,11058,2,33,13,1,1,NA,1417,1,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
18772,6228,2,21,8,3,1,NA,2745,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18807,9565,2,29,22,5,1,NA,1961,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
18828,4495,2,40,4,6,1,NA,984,0,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
18934,4551,2,20,14,2,1,NA,1984,0,11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
18993,11008,2,72,26,6,0,NA,1752,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
18993,11008,2,72,26,7,0,NA,68,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
19009,11512,2,39,2,5,1,NA,2037,0,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
19099,8542,2,58,3,1,0,NA,1181,1,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
19136,11138,2,27,8,1,1,NA,1679,1,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
19150,5420,2,29,15,3,1,NA,1277,0,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
19180,4261,2,38,30,4,1,NA,1948,0,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
19186,4226,2,25,27,6,1,NA,1764,0,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
19188,3778,2,50,19,3,0,NA,1365,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
19225,5661,2,32,1,1,1,NA,1980,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
19275,4638,2,65,6,6,0,NA,2693,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
19278,4251,2,73,4,6,0,NA,1130,0,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
19330,4745,2,29,29,3,1,NA,1104,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
19354,9918,2,20,16,4,1,NA,1210,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
19395,11243,2,25,8,2,1,NA,1604,0,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
19428,11243,2,52,8,2,0,NA,1205,0,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
19471,11297,2,32,28,4,1,NA,1683,0,13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
19489,4652,2,52,19,3,0,NA,1111,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
19517,10393,2,20,4,6,1,NA,1782,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
19536,2847,2,50,6,2,0,NA,1523,0,11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
19541,1802,2,37,22,5,1,NA,1132,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
19551,3656,2,18,8,3,1,NA,1559,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
19631,5075,2,70,22,4,0,NA,1035,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
19649,6363,2,27,31,3,1,NA,2087,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
19747,4375,2,60,11,6,0,NA,2820,0,11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
19817,11118,2,50,26,7,0,NA,1491,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
19885,3942,2,20,3,6,1,NA,1349,0,13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
19889,5628,2,42,3,1,1,NA,1627,1,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
19911,734,2,43,3,6,1,NA,1327,0,13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
19918,8597,2,47,23,3,1,NA,2448,0,13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
19927,1778,2,18,13,4,1,NA,1404,0,11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
19941,7314,2,68,30,5,0,NA,1482,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
19951,9876,2,65,19,4,0,NA,1296,0,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
20036,6398,2,42,15,5,1,NA,1004,0,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
