SUBJECT,HOUSEHOLD,SEX,AGE_YEAR,CONSUMPTION_DAY,WEEK_DAY,PREG_LACT,BREASTFEEDING,sum_ENERGY_kcal,WEEKEND,adm2_,adm2_2,adm2_4,adm2_8,adm2_7,adm2_3,adm2_10,adm2_6,adm2_5,adm2_9,adm2_1
31986,3655,2,26,23,5,1,NA,1509,0,3,0,0,0,0,1,0,0,0,0,0
32001,8333,2,35,7,6,1,NA,2732,0,3,0,0,0,0,1,0,0,0,0,0
32008,8405,2,18,17,6,1,NA,1529,0,1,0,0,0,0,0,0,0,0,0,1
32010,7267,2,45,14,2,1,NA,1421,0,4,0,1,0,0,0,0,0,0,0,0
32014,3213,2,26,10,2,1,NA,2645,0,3,0,0,0,0,1,0,0,0,0,0
32041,6656,2,50,1,3,0,NA,770,0,2,1,0,0,0,0,0,0,0,0,0
32045,2807,2,42,12,2,1,NA,1653,0,7,0,0,0,1,0,0,0,0,0,0
32046,8468,2,45,4,6,1,NA,1676,0,7,0,0,0,1,0,0,0,0,0,0
32059,713,2,64,4,3,0,NA,2418,0,3,0,0,0,0,1,0,0,0,0,0
32085,3956,2,22,19,4,1,NA,1537,0,1,0,0,0,0,0,0,0,0,0,1
32116,6911,2,44,12,4,1,NA,1004,0,9,0,0,0,0,0,0,0,0,1,0
32123,7452,2,45,4,5,1,NA,1989,0,2,1,0,0,0,0,0,0,0,0,0
32134,9199,2,35,14,1,1,NA,1599,1,7,0,0,0,1,0,0,0,0,0,0
32139,7651,2,70,1,1,0,NA,1140,1,5,0,0,0,0,0,0,0,1,0,0
32181,6617,2,48,8,5,1,NA,1293,0,7,0,0,0,1,0,0,0,0,0,0
32191,8848,2,46,8,4,1,NA,2821,0,8,0,0,1,0,0,0,0,0,0,0
32193,9691,2,68,4,5,0,NA,2351,0,2,1,0,0,0,0,0,0,0,0,0
32204,3548,2,30,1,1,1,NA,2880,1,6,0,0,0,0,0,0,1,0,0,0
32224,9972,2,43,2,5,1,NA,2195,0,8,0,0,1,0,0,0,0,0,0,0
32268,10475,2,33,19,7,1,NA,1612,1,8,0,0,1,0,0,0,0,0,0,0
32303,3295,2,55,23,5,0,NA,1452,0,8,0,0,1,0,0,0,0,0,0,0
32373,6083,2,42,8,3,1,NA,1671,0,4,0,1,0,0,0,0,0,0,0,0
32392,11848,2,44,14,2,1,NA,1558,0,4,0,1,0,0,0,0,0,0,0,0
32471,1654,2,37,21,3,1,NA,2873,0,8,0,0,1,0,0,0,0,0,0,0
32517,6158,2,60,3,5,0,NA,940,0,2,1,0,0,0,0,0,0,0,0,0
32539,9913,2,24,11,7,1,NA,1445,1,5,0,0,0,0,0,0,0,1,0,0
32540,1767,2,38,21,3,1,NA,3695,0,3,0,0,0,0,1,0,0,0,0,0
32560,3109,2,18,26,5,1,NA,1332,0,1,0,0,0,0,0,0,0,0,0,1
32598,8476,2,20,30,6,1,NA,1226,0,5,0,0,0,0,0,0,0,1,0,0
32611,11461,2,45,8,3,1,NA,1484,0,4,0,1,0,0,0,0,0,0,0,0
32633,285,2,38,26,7,1,NA,1611,1,2,1,0,0,0,0,0,0,0,0,0
32657,3280,2,21,4,2,1,NA,1410,0,10,0,0,0,0,0,1,0,0,0,0
32691,3026,2,40,12,6,1,NA,1458,0,7,0,0,0,1,0,0,0,0,0,0
32773,5641,2,28,3,1,1,NA,2236,1,9,0,0,0,0,0,0,0,0,1,0
32792,8960,2,55,20,2,0,NA,1569,0,1,0,0,0,0,0,0,0,0,0,1
32816,5768,2,32,16,3,1,NA,1785,0,7,0,0,0,1,0,0,0,0,0,0
32858,5440,2,20,23,4,1,NA,2280,0,8,0,0,1,0,0,0,0,0,0,0
32903,4814,2,25,29,7,1,NA,1706,1,5,0,0,0,0,0,0,0,1,0,0
32994,4994,2,40,12,3,1,NA,1869,0,10,0,0,0,0,0,1,0,0,0,0
33001,10267,2,38,8,2,1,NA,2025,0,2,1,0,0,0,0,0,0,0,0,0
33048,3576,2,36,9,5,1,NA,1488,0,5,0,0,0,0,0,0,0,1,0,0
33067,4873,2,18,10,6,1,NA,2232,0,8,0,0,1,0,0,0,0,0,0,0
33112,9629,2,40,6,3,1,NA,1495,0,7,0,0,0,1,0,0,0,0,0,0
33117,11365,2,45,10,4,1,NA,1157,0,7,0,0,0,1,0,0,0,0,0,0
33120,2665,2,22,31,3,1,NA,2634,0,8,0,0,1,0,0,0,0,0,0,0
33171,6051,2,34,24,5,1,NA,1493,0,7,0,0,0,1,0,0,0,0,0,0
33227,11477,2,28,23,5,1,NA,2325,0,3,0,0,0,0,1,0,0,0,0,0
33265,5072,2,18,21,5,1,NA,1439,0,10,0,0,0,0,0,1,0,0,0,0
33309,9468,2,26,24,4,1,NA,1748,0,6,0,0,0,0,0,0,1,0,0,0
33362,9995,2,50,21,5,0,NA,1795,0,10,0,0,0,0,0,1,0,0,0,0
33371,2977,2,24,6,2,1,NA,2017,0,8,0,0,1,0,0,0,0,0,0,0
33485,5128,2,61,29,7,0,NA,1651,1,5,0,0,0,0,0,0,0,1,0,0
33531,615,2,20,12,6,1,NA,1617,0,7,0,0,0,1,0,0,0,0,0,0
33545,7321,2,26,2,3,1,NA,2094,0,2,1,0,0,0,0,0,0,0,0,0
33619,9581,2,35,23,6,1,NA,291,0,1,0,0,0,0,0,0,0,0,0,1
33672,4830,2,38,16,5,1,NA,1548,0,3,0,0,0,0,1,0,0,0,0,0
33718,11157,2,45,24,7,1,NA,2133,1,4,0,1,0,0,0,0,0,0,0,0
33814,3489,2,55,5,7,0,NA,276,1,1,0,0,0,0,0,0,0,0,0,1
33823,498,2,25,7,6,1,NA,2232,0,3,0,0,0,0,1,0,0,0,0,0
33914,2998,2,74,18,3,0,NA,1727,0,1,0,0,0,0,0,0,0,0,0,1
33917,5559,2,18,28,3,1,NA,1950,0,2,1,0,0,0,0,0,0,0,0,0
33931,4918,2,35,22,5,1,NA,1136,0,5,0,0,0,0,0,0,0,1,0,0
33951,4758,2,60,30,5,0,NA,2438,0,2,1,0,0,0,0,0,0,0,0,0
33959,4066,2,65,4,2,0,NA,3389,0,1,0,0,0,0,0,0,0,0,0,1
33963,7860,2,18,8,5,1,NA,1732,0,7,0,0,0,1,0,0,0,0,0,0
33975,3870,2,21,31,3,1,NA,2264,0,8,0,0,1,0,0,0,0,0,0,0
34052,2358,2,25,4,7,1,NA,2840,1,8,0,0,1,0,0,0,0,0,0,0
34059,7354,2,65,8,3,0,NA,1382,0,7,0,0,0,1,0,0,0,0,0,0
34139,4834,2,20,8,5,1,NA,1528,0,7,0,0,0,1,0,0,0,0,0,0
34166,4228,2,45,31,3,1,NA,2118,0,8,0,0,1,0,0,0,0,0,0,0
34183,10175,2,49,3,1,1,NA,1844,1,9,0,0,0,0,0,0,0,0,1,0
34236,5675,2,32,12,2,1,NA,1084,0,7,0,0,0,1,0,0,0,0,0,0
34271,7412,2,38,18,3,1,NA,1209,0,10,0,0,0,0,0,1,0,0,0,0
34301,214,2,62,17,6,0,NA,2263,0,8,0,0,1,0,0,0,0,0,0,0
34345,7988,2,50,30,6,0,NA,1778,0,5,0,0,0,0,0,0,0,1,0,0
34440,585,2,21,30,5,1,NA,2665,0,2,1,0,0,0,0,0,0,0,0,0
34508,3163,2,37,23,7,1,NA,1827,1,10,0,0,0,0,0,1,0,0,0,0
34512,10703,2,38,17,6,1,NA,1673,0,3,0,0,0,0,1,0,0,0,0,0
34515,7327,2,65,4,5,0,NA,2324,0,2,1,0,0,0,0,0,0,0,0,0
34561,4407,2,30,22,5,1,NA,1441,0,1,0,0,0,0,0,0,0,0,0,1
34569,10502,2,28,16,1,1,NA,585,1,10,0,0,0,0,0,1,0,0,0,0
34597,4341,2,36,24,5,1,NA,1901,0,7,0,0,0,1,0,0,0,0,0,0
34673,8075,2,38,5,4,1,NA,2072,0,3,0,0,0,0,1,0,0,0,0,0
34704,5515,2,26,26,7,1,NA,1711,1,2,1,0,0,0,0,0,0,0,0,0
34753,442,2,50,30,1,0,NA,2293,1,5,0,0,0,0,0,0,0,1,0,0
34791,9010,2,22,21,2,1,NA,1022,0,8,0,0,1,0,0,0,0,0,0,0
