SUBJECT,HOUSEHOLD,SEX,AGE_YEAR,CONSUMPTION_DAY,sum_VITA_RAE_mcg,sum_FOLDFE_mcg,sum_IRON_mg,sum_ZINC_mg,WEEKEND,adm2_,adm2_5,adm2_9,adm2_1,adm2_11,adm2_10,adm2_4,adm2_6,adm2_12,adm2_3,adm2_7,adm2_8,adm2_2
1826,6572,2,45,11,31,203,9.76,5.5600000000000005,0,4,0,0,0,0,0,1,0,0,0,0,0,0
1832,11154,2,25,28,68,222,17.839999999999996,8.959999999999999,0,3,0,0,0,0,0,0,0,0,1,0,0,0
1858,11096,1,32,6,714,272,15.84,10.78,0,11,0,0,0,1,0,0,0,0,0,0,0,0
1875,9628,2,38,14,483,166,13.199999999999998,8.649999999999999,0,9,0,1,0,0,0,0,0,0,0,0,0,0
1876,6972,2,38,21,240,119,9.32,7.339999999999999,0,10,0,0,0,0,1,0,0,0,0,0,0,0
1888,7098,2,48,22,120,273,17.63,10.420000000000002,0,10,0,0,0,0,1,0,0,0,0,0,0,0
1892,10395,2,48,14,30,197,12.36,6.22,0,8,0,0,0,0,0,0,0,0,0,0,1,0
1899,10594,2,45,28,33,170,14.049999999999999,8.03,0,3,0,0,0,0,0,0,0,0,1,0,0,0
1907,9524,2,65,14,34,199,19.91,12.119999999999997,0,9,0,1,0,0,0,0,0,0,0,0,0,0
1921,10300,1,35,17,24,165,18.620000000000005,9.95,0,2,0,0,0,0,0,0,0,0,0,0,0,1
1940,113,1,24,29,55,93,10.069999999999999,5.259999999999998,0,3,0,0,0,0,0,0,0,0,1,0,0,0
1948,6099,1,38,13,54,328,18.8,12.109999999999998,0,6,0,0,0,0,0,0,1,0,0,0,0,0
1958,9060,2,45,17,126,146,7.06,5.17,0,2,0,0,0,0,0,0,0,0,0,0,0,1
1964,2307,1,45,21,105,326,29.229999999999997,17.770000000000003,0,6,0,0,0,0,0,0,1,0,0,0,0,0
1968,11017,1,27,21,37,96,9.739999999999998,4.269999999999999,0,12,0,0,0,0,0,0,0,1,0,0,0,0
1978,8571,2,35,17,1034,855,20.009999999999998,10.049999999999999,0,7,0,0,0,0,0,0,0,0,0,1,0,0
1981,1781,2,46,29,64,141,10.91,6.35,0,3,0,0,0,0,0,0,0,0,1,0,0,0
1988,10300,2,25,17,36,169,19.58,10.489999999999998,0,2,0,0,0,0,0,0,0,0,0,0,0,1
1989,2492,1,65,27,205,167,20.31,12.33,0,11,0,0,0,1,0,0,0,0,0,0,0,0
2002,5995,1,36,30,45,164,10.23,8.040000000000001,0,5,1,0,0,0,0,0,0,0,0,0,0,0
2006,7134,2,30,6,79,164,6.17,5.12,0,11,0,0,0,1,0,0,0,0,0,0,0,0
2034,500,1,58,18,53,75,5.53,4.339999999999998,0,10,0,0,0,0,1,0,0,0,0,0,0,0
2054,2877,2,23,18,91,60,2.44,1.9200000000000002,0,10,0,0,0,0,1,0,0,0,0,0,0,0
2074,5346,1,55,2,47,177,14.569999999999997,10.28,0,3,0,0,0,0,0,0,0,0,1,0,0,0
2115,11109,1,45,6,574,213,9.82,6.769999999999999,0,11,0,0,0,1,0,0,0,0,0,0,0,0
2148,5386,1,20,20,155,270,14.6,9.88,0,5,1,0,0,0,0,0,0,0,0,0,0,0
2150,10604,2,30,15,76,173,16.780000000000005,8.689999999999998,0,2,0,0,0,0,0,0,0,0,0,0,0,1
2159,9857,2,35,23,21,222,17.480000000000004,9.74,0,9,0,1,0,0,0,0,0,0,0,0,0,0
2197,1683,2,55,8,32,143,9.959999999999999,6.43,0,11,0,0,0,1,0,0,0,0,0,0,0,0
2222,6336,2,40,23,64,146,13.07,10.030000000000001,0,9,0,1,0,0,0,0,0,0,0,0,0,0
2238,5341,2,28,15,153,295,21.04,11.68,0,6,0,0,0,0,0,0,1,0,0,0,0,0
2244,3533,1,45,21,65,170,10.170000000000002,6.049999999999999,0,6,0,0,0,0,0,0,1,0,0,0,0,0
2256,5386,2,18,20,83,116,3.65,3.72,0,5,1,0,0,0,0,0,0,0,0,0,0,0
2303,11819,1,30,6,88,178,16.859999999999996,12.069999999999997,0,7,0,0,0,0,0,0,0,0,0,1,0,0
2310,1662,2,25,28,632,153,14.209999999999999,8.389999999999999,0,11,0,0,0,1,0,0,0,0,0,0,0,0
2318,5711,1,20,24,29,59,4.879999999999999,4.809999999999999,0,10,0,0,0,0,1,0,0,0,0,0,0,0
2324,4468,1,50,29,49,208,14.82,10.18,0,5,1,0,0,0,0,0,0,0,0,0,0,0
2346,9847,2,65,20,109,258,19.37,10.48,0,10,0,0,0,0,1,0,0,0,0,0,0,0
2374,7006,2,68,16,127,160,9.679999999999998,7.499999999999999,0,8,0,0,0,0,0,0,0,0,0,0,1,0
2382,7193,1,61,19,188,157,14.539999999999997,10.609999999999998,0,11,0,0,0,1,0,0,0,0,0,0,0,0
2387,5831,2,32,9,29,90,7.7,5.419999999999999,0,8,0,0,0,0,0,0,0,0,0,0,1,0
2404,387,1,80,11,508,111,9.649999999999999,8.069999999999999,0,7,0,0,0,0,0,0,0,0,0,1,0,0
2417,10847,1,32,18,24,106,13.629999999999997,8.659999999999997,0,12,0,0,0,0,0,0,0,1,0,0,0,0
2420,6493,1,75,25,24,142,10.78,6.37,0,6,0,0,0,0,0,0,1,0,0,0,0,0
2430,155,2,19,25,72,153,18.209999999999997,10.429999999999998,0,4,0,0,0,0,0,1,0,0,0,0,0,0
2470,3268,2,55,24,112,114,7.630000000000002,6.309999999999999,0,9,0,1,0,0,0,0,0,0,0,0,0,0
2477,1161,2,60,12,87,255,29.789999999999992,18.13,0,9,0,1,0,0,0,0,0,0,0,0,0,0
2484,2547,1,53,27,599,107,15.169999999999998,8.049999999999999,0,5,1,0,0,0,0,0,0,0,0,0,0,0
2488,11664,2,42,18,191,194,14.510000000000002,9.739999999999997,0,8,0,0,0,0,0,0,0,0,0,0,1,0
2497,7042,1,21,20,880,185,14.249999999999998,10.31,0,7,0,0,0,0,0,0,0,0,0,1,0,0
2501,715,1,40,20,313,139,11.190000000000001,7.01,0,1,0,0,1,0,0,0,0,0,0,0,0,0
2531,5727,2,26,11,32,134,10.489999999999998,9.12,0,12,0,0,0,0,0,0,0,1,0,0,0,0
2535,430,1,18,16,27,77,7.76,5.909999999999999,0,8,0,0,0,0,0,0,0,0,0,0,1,0
2536,5036,2,25,8,46,148,13.82,7.989999999999999,0,7,0,0,0,0,0,0,0,0,0,1,0,0
2553,845,2,27,17,96,137,12.090000000000002,7.189999999999998,0,2,0,0,0,0,0,0,0,0,0,0,0,1
2587,3977,2,38,22,27,70,10.909999999999998,4.7299999999999995,0,12,0,0,0,0,0,0,0,1,0,0,0,0
2589,6475,2,33,25,249,209,10.469999999999997,6.25,0,9,0,1,0,0,0,0,0,0,0,0,0,0
2594,11792,1,39,30,32,81,3.9799999999999995,3.3400000000000003,0,5,1,0,0,0,0,0,0,0,0,0,0,0
2595,8007,2,55,4,99,151,10.920000000000002,9.44,0,7,0,0,0,0,0,0,0,0,0,1,0,0
2596,5330,1,54,8,83,165,16.91,10.349999999999998,0,7,0,0,0,0,0,0,0,0,0,1,0,0
2597,5232,2,37,29,108,130,11.209999999999999,5.590000000000001,0,3,0,0,0,0,0,0,0,0,1,0,0,0
2598,5392,1,50,8,77,147,13.139999999999999,8.28,0,8,0,0,0,0,0,0,0,0,0,0,1,0
2610,7252,2,55,4,161,102,5.479999999999999,4.949999999999999,0,7,0,0,0,0,0,0,0,0,0,1,0,0
2624,3820,2,30,6,389,194,16.919999999999998,10.299999999999999,0,7,0,0,0,0,0,0,0,0,0,1,0,0
2629,8337,2,20,19,65,433,26.24,15.13,0,2,0,0,0,0,0,0,0,0,0,0,0,1
2641,5200,2,28,4,77,128,9.49,6.319999999999999,0,3,0,0,0,0,0,0,0,0,1,0,0,0
2665,2770,1,62,14,474,276,12.449999999999998,8.719999999999999,0,9,0,1,0,0,0,0,0,0,0,0,0,0
2673,8298,2,29,22,885,173,12.43,6.720000000000001,0,12,0,0,0,0,0,0,0,1,0,0,0,0
2699,3364,1,42,21,126,172,13.119999999999997,9.419999999999998,0,4,0,0,0,0,0,1,0,0,0,0,0,0
2717,10881,2,18,4,22,54,9.65,4.569999999999999,0,3,0,0,0,0,0,0,0,0,1,0,0,0
2731,7570,2,25,18,35,335,29.929999999999996,16.5,0,4,0,0,0,0,0,1,0,0,0,0,0,0
2740,10126,2,30,19,102,224,18.470000000000002,11.699999999999998,0,2,0,0,0,0,0,0,0,0,0,0,0,1
2748,8077,1,60,11,109,233,16.770000000000003,10.789999999999997,0,8,0,0,0,0,0,0,0,0,0,0,1,0
2771,19,1,40,21,60,272,22.08,13.68,0,4,0,0,0,0,0,1,0,0,0,0,0,0
2773,1161,1,70,12,66,244,29.25,17.98,0,9,0,1,0,0,0,0,0,0,0,0,0,0
2829,2510,2,40,22,47,102,8.53,8.929999999999998,0,12,0,0,0,0,0,0,0,1,0,0,0,0
2837,11521,2,25,20,117,89,4.34,4.189999999999999,0,11,0,0,0,1,0,0,0,0,0,0,0,0
2845,2946,1,23,13,148,387,20.23,12.209999999999999,0,2,0,0,0,0,0,0,0,0,0,0,0,1
2849,341,1,19,22,103,242,18.710000000000008,12.609999999999998,0,10,0,0,0,0,1,0,0,0,0,0,0,0
2858,10589,2,27,15,162,276,9.03,8.52,0,12,0,0,0,0,0,0,0,1,0,0,0,0
2863,2492,2,58,27,235,245,25.029999999999998,15.16,0,11,0,0,0,1,0,0,0,0,0,0,0,0
2864,10866,2,20,23,33,71,6.4799999999999995,3.5899999999999985,0,4,0,0,0,0,0,1,0,0,0,0,0,0
2871,886,1,18,20,56,230,24.359999999999996,15.409999999999998,0,2,0,0,0,0,0,0,0,0,0,0,0,1
2875,10287,1,60,29,101,168,14.070000000000002,9.76,0,10,0,0,0,0,1,0,0,0,0,0,0,0
2924,994,2,50,22,33,182,14.95,8.57,0,10,0,0,0,0,1,0,0,0,0,0,0,0
2933,1655,1,37,25,5,112,11.729999999999997,6.379999999999999,0,11,0,0,0,1,0,0,0,0,0,0,0,0
2958,1133,2,19,10,338,174,7.639999999999998,4.789999999999999,0,9,0,1,0,0,0,0,0,0,0,0,0,0
