SUBJECT,HOUSEHOLD,SEX,AGE_YEAR,CONSUMPTION_DAY,WEEK_DAY,PREG_LACT,BREASTFEEDING,sum_ENERGY_kcal,WEEKEND,adm2_,adm2_9,adm2_3,adm2_1,adm2_8,adm2_2,adm2_7,adm2_10,adm2_5,adm2_6,adm2_4
33019,5542,1,70,1,1,NA,NA,3059,1,8,0,0,0,1,0,0,0,0,0,0
33080,3225,1,24,19,5,NA,NA,1503,0,2,0,0,0,0,1,0,0,0,0,0
33115,3636,1,30,9,3,NA,NA,1355,0,9,1,0,0,0,0,0,0,0,0,0
33130,916,1,62,16,4,NA,NA,1292,0,9,1,0,0,0,0,0,0,0,0,0
33149,7597,1,50,22,5,NA,NA,2153,0,4,0,0,0,0,0,0,0,0,0,1
33172,10801,1,55,2,1,NA,NA,2101,1,5,0,0,0,0,0,0,0,1,0,0
33179,2827,1,48,8,4,NA,NA,1596,0,7,0,0,0,0,0,1,0,0,0,0
33197,2607,1,27,22,3,NA,NA,2009,0,4,0,0,0,0,0,0,0,0,0,1
33302,539,1,45,17,3,NA,NA,3385,0,2,0,0,0,0,1,0,0,0,0,0
33386,6332,1,45,26,7,NA,NA,2014,1,1,0,0,1,0,0,0,0,0,0,0
33395,6729,1,25,30,4,NA,NA,1846,0,1,0,0,1,0,0,0,0,0,0,0
33414,8073,1,60,27,1,NA,NA,1250,1,1,0,0,1,0,0,0,0,0,0,0
33508,2082,1,36,10,7,NA,NA,1973,1,7,0,0,0,0,0,1,0,0,0,0
33571,6951,1,25,27,4,NA,NA,2046,0,4,0,0,0,0,0,0,0,0,0,1
33589,4437,1,37,9,4,NA,NA,2503,0,7,0,0,0,0,0,1,0,0,0,0
33594,2987,1,65,5,5,NA,NA,3484,0,5,0,0,0,0,0,0,0,1,0,0
33649,3679,1,50,17,3,NA,NA,2083,0,2,0,0,0,0,1,0,0,0,0,0
33653,5504,1,35,15,5,NA,NA,894,0,8,0,0,0,1,0,0,0,0,0,0
33664,7866,1,30,25,2,NA,NA,1621,0,5,0,0,0,0,0,0,0,1,0,0
33686,5522,1,40,8,4,NA,NA,1690,0,7,0,0,0,0,0,1,0,0,0,0
