SUBJECT,HOUSEHOLD,SEX,AGE_YEAR,CONSUMPTION_DAY.x,WEEK_DAY,PREG_LACT.x,BREASTFEEDING.x,sum_VITA_RAE_mcg,CONSUMPTION_DAY.y,PREG_LACT.y,BREASTFEEDING.y,sum_FOLDFE_mcg,CONSUMPTION_DAY.x.x,PREG_LACT.x.x,BREASTFEEDING.x.x,sum_IRON_mg,CONSUMPTION_DAY.y.y,PREG_LACT.y.y,BREASTFEEDING.y.y,sum_ZINC_mg,CONSUMPTION_DAY,PREG_LACT,BREASTFEEDING,sum_VITB12_mcg,WEEKEND,adm2_,adm2_8,adm2_9,adm2_2,adm2_1,adm2_6,adm2_3,adm2_7,adm2_4,adm2_5
3284,6667,2,28,1,4,1,NA,34,1,1,NA,114,1,1,NA,13.399999999999999,1,1,NA,8.999999999999996,1,1,NA,0.4716,0,7,0,0,0,0,0,0,1,0,0
3293,9607,2,30,5,5,1,NA,130,5,1,NA,171,5,1,NA,15.190000000000003,5,1,NA,9.36,5,1,NA,0,0,8,1,0,0,0,0,0,0,0,0
3298,5978,2,32,12,4,1,NA,2,12,1,NA,87,12,1,NA,10.69,12,1,NA,7.37,12,1,NA,0.42930000000000007,0,8,1,0,0,0,0,0,0,0,0
3306,6615,2,36,24,7,1,NA,364,24,1,NA,228,24,1,NA,16.88,24,1,NA,10.679999999999998,24,1,NA,0,1,5,0,0,0,0,0,0,0,0,1
3309,2514,2,22,17,1,1,NA,151,17,1,NA,166,17,1,NA,9.85,17,1,NA,8.17,17,1,NA,0,1,6,0,0,0,0,1,0,0,0,0
3322,7127,2,67,7,4,NA,NA,10,7,NA,NA,66,7,NA,NA,3,7,NA,NA,3.2099999999999995,7,0,NA,0,0,9,0,1,0,0,0,0,0,0,0
3327,10370,2,20,19,4,1,NA,59,19,1,NA,104,19,1,NA,12.2,19,1,NA,7.969999999999999,19,1,NA,0,0,3,0,0,0,0,0,1,0,0,0
3336,10595,2,36,22,4,1,NA,18,22,1,NA,102,22,1,NA,13.07,22,1,NA,7.619999999999999,22,1,NA,0,0,8,1,0,0,0,0,0,0,0,0
3346,10571,2,55,18,5,NA,NA,60,18,NA,NA,120,18,NA,NA,11.99,18,NA,NA,8.209999999999999,18,0,NA,0,0,6,0,0,0,0,1,0,0,0,0
3354,7557,2,36,5,5,1,NA,4,5,1,NA,58,5,1,NA,5.319999999999999,5,1,NA,4.88,5,1,NA,0,0,8,1,0,0,0,0,0,0,0,0
3358,774,2,24,6,3,1,NA,209,6,1,NA,242,6,1,NA,12.329999999999998,6,1,NA,7.569999999999999,6,1,NA,0.6426000000000001,0,1,0,0,0,1,0,0,0,0,0
3403,3259,2,35,6,6,1,NA,7,6,1,NA,94,6,1,NA,8.049999999999999,6,1,NA,6.15,6,1,NA,0,0,5,0,0,0,0,0,0,0,0,1
3437,9157,2,35,5,2,1,NA,3,5,1,NA,126,5,1,NA,11.719999999999999,5,1,NA,9.019999999999998,5,1,NA,0,0,9,0,1,0,0,0,0,0,0,0
3535,9292,2,60,17,1,NA,NA,104,17,NA,NA,176,17,NA,NA,15.28,17,NA,NA,11.009999999999998,17,0,NA,0.45,1,6,0,0,0,0,1,0,0,0,0
3553,7026,2,60,25,1,NA,NA,20,25,NA,NA,1283,25,NA,NA,12.57,25,NA,NA,8.16,25,0,NA,0.9764999999999999,1,4,0,0,0,0,0,0,0,1,0
3581,1048,2,35,10,3,1,NA,9,10,1,NA,69,10,1,NA,7.66,10,1,NA,5.7,10,1,NA,0,0,8,1,0,0,0,0,0,0,0,0
3617,2080,2,35,8,1,1,NA,383,8,1,NA,462,8,1,NA,23.650000000000002,8,1,NA,15.409999999999997,8,1,NA,5.265000000000001,1,8,1,0,0,0,0,0,0,0,0
3622,6311,2,60,23,6,NA,NA,7,23,NA,NA,122,23,NA,NA,10.949999999999998,23,NA,NA,8.419999999999998,23,0,NA,0,0,2,0,0,1,0,0,0,0,0,0
3628,3722,2,75,5,5,NA,NA,21,5,NA,NA,145,5,NA,NA,13.39,5,NA,NA,10.02,5,0,NA,0,0,8,1,0,0,0,0,0,0,0,0
3657,572,2,35,8,1,1,NA,18,8,1,NA,394,8,1,NA,22.099999999999998,8,1,NA,14.269999999999998,8,1,NA,0.6003000000000001,1,8,1,0,0,0,0,0,0,0,0
3658,11401,2,57,10,5,NA,NA,16,10,NA,NA,106,10,NA,NA,11.67,10,NA,NA,7.31,10,0,NA,2.6997,0,9,0,1,0,0,0,0,0,0,0
3678,147,2,23,8,7,1,NA,4,8,1,NA,100,8,1,NA,8.710000000000003,8,1,NA,6.02,8,1,NA,0.13770000000000002,1,8,1,0,0,0,0,0,0,0,0
3700,6192,2,40,11,4,1,NA,8,11,1,NA,65,11,1,NA,6.0200000000000005,11,1,NA,4.5600000000000005,11,1,NA,0,0,8,1,0,0,0,0,0,0,0,0
3708,10637,2,32,26,2,1,NA,55,26,1,NA,479,26,1,NA,31.070000000000004,26,1,NA,22.25,26,1,NA,0.675,0,2,0,0,1,0,0,0,0,0,0
3717,2551,2,22,8,1,1,NA,188,8,1,NA,230,8,1,NA,15.4,8,1,NA,10.47,8,1,NA,0,1,5,0,0,0,0,0,0,0,0,1
3724,9496,2,52,20,7,NA,NA,41,20,NA,NA,268,20,NA,NA,21.020000000000003,20,NA,NA,14.23,20,0,NA,0.63,1,3,0,0,0,0,0,1,0,0,0
