SUBJECT,HOUSEHOLD,SEX,AGE_YEAR,CONSUMPTION_DAY,WEEK_DAY,PREG_LACT,BREASTFEEDING,sum_ENERGY_kcal,WEEKEND,adm2_,adm2_7,adm2_9,adm2_3,adm2_6,adm2_8,adm2_1,adm2_4,adm2_10,adm2_5,adm2_2
25652,3911,1,27,16,2,NA,NA,2425,0,3,0,0,1,0,0,0,0,0,0,0
25663,9468,1,58,24,4,NA,NA,2513,0,6,0,0,0,1,0,0,0,0,0,0
25707,260,1,23,4,2,NA,NA,2269,0,10,0,0,0,0,0,0,0,1,0,0
25730,214,1,18,17,6,NA,NA,2624,0,8,0,0,0,0,1,0,0,0,0,0
25737,8517,1,65,8,2,NA,NA,2591,0,2,0,0,0,0,0,0,0,0,0,1
25776,6632,1,38,16,2,NA,NA,2663,0,3,0,0,1,0,0,0,0,0,0,0
25785,3527,1,21,6,2,NA,NA,2257,0,8,0,0,0,0,1,0,0,0,0,0
25806,8230,1,65,12,7,NA,NA,2094,1,5,0,0,0,0,0,0,0,0,1,0
25935,9198,1,24,7,3,NA,NA,2602,0,5,0,0,0,0,0,0,0,0,1,0
25960,1344,1,49,13,2,NA,NA,2731,0,9,0,1,0,0,0,0,0,0,0,0
26001,7670,1,45,28,6,NA,NA,3158,0,1,0,0,0,0,0,1,0,0,0,0
26050,10925,1,30,23,4,NA,NA,1453,0,8,0,0,0,0,1,0,0,0,0,0
26062,9752,1,37,7,3,NA,NA,2442,0,5,0,0,0,0,0,0,0,0,1,0
26109,4263,1,35,31,2,NA,NA,2398,0,5,0,0,0,0,0,0,0,0,1,0
26134,4648,1,51,18,6,NA,NA,2549,0,7,1,0,0,0,0,0,0,0,0,0
26163,6758,1,60,12,6,NA,NA,2794,0,7,1,0,0,0,0,0,0,0,0,0
26165,5128,1,64,29,7,NA,NA,2080,1,5,0,0,0,0,0,0,0,0,1,0
26179,10755,1,40,16,3,NA,NA,2061,0,7,1,0,0,0,0,0,0,0,0,0
26239,929,1,25,25,2,NA,NA,2464,0,10,0,0,0,0,0,0,0,1,0,0
26255,8487,1,30,25,6,NA,NA,1991,0,8,0,0,0,0,1,0,0,0,0,0
26264,3770,1,36,15,1,NA,NA,1800,1,3,0,0,1,0,0,0,0,0,0,0
26310,4163,1,24,5,4,NA,NA,2861,0,3,0,0,1,0,0,0,0,0,0,0
26368,1288,1,19,17,6,NA,NA,1387,0,3,0,0,1,0,0,0,0,0,0,0
26436,701,1,32,9,5,NA,NA,1608,0,5,0,0,0,0,0,0,0,0,1,0
26473,5971,1,38,23,4,NA,NA,2082,0,8,0,0,0,0,1,0,0,0,0,0
26505,1997,1,24,26,5,NA,NA,2387,0,1,0,0,0,0,0,1,0,0,0,0
26552,4584,1,45,4,2,NA,NA,2553,0,10,0,0,0,0,0,0,0,1,0,0
26624,8433,1,30,8,2,NA,NA,2721,0,2,0,0,0,0,0,0,0,0,0,1
26647,10663,1,43,25,2,NA,NA,1696,0,10,0,0,0,0,0,0,0,1,0,0
26651,10842,1,47,7,3,NA,NA,2035,0,5,0,0,0,0,0,0,0,0,1,0
26668,2317,1,40,23,4,NA,NA,1451,0,7,1,0,0,0,0,0,0,0,0,0
26708,9601,1,65,14,2,NA,NA,1623,0,4,0,0,0,0,0,0,1,0,0,0
26757,9043,1,55,14,2,NA,NA,1202,0,4,0,0,0,0,0,0,1,0,0,0
26791,5515,1,29,26,7,NA,NA,1692,1,2,0,0,0,0,0,0,0,0,0,1
26805,8697,1,60,19,1,NA,NA,1915,1,8,0,0,0,0,1,0,0,0,0,0
26871,10709,1,55,6,7,NA,NA,2607,1,2,0,0,0,0,0,0,0,0,0,1
26884,9911,1,35,25,6,NA,NA,1532,0,8,0,0,0,0,1,0,0,0,0,0
26900,11299,1,26,1,6,NA,NA,1524,0,9,0,1,0,0,0,0,0,0,0,0
26917,6570,1,70,29,6,NA,NA,2202,0,6,0,0,0,1,0,0,0,0,0,0
