SUBJECT,HOUSEHOLD,SEX,AGE_YEAR,CONSUMPTION_DAY.x,WEEK_DAY,PREG_LACT.x,BREASTFEEDING.x,sum_VITA_RAE_mcg,CONSUMPTION_DAY.y,PREG_LACT.y,BREASTFEEDING.y,sum_FOLDFE_mcg,CONSUMPTION_DAY.x.x,PREG_LACT.x.x,BREASTFEEDING.x.x,sum_IRON_mg,CONSUMPTION_DAY.y.y,PREG_LACT.y.y,BREASTFEEDING.y.y,sum_ZINC_mg,CONSUMPTION_DAY,PREG_LACT,BREASTFEEDING,sum_VITB12_mcg,WEEKEND,adm2_,adm2_9,adm2_14,adm2_15,adm2_12,adm2_1,adm2_3,adm2_8,adm2_10,adm2_11,adm2_4,adm2_13,adm2_7,adm2_2,adm2_5,adm2_6
1391,372,2,53,17,7,NA,NA,104,17,NA,NA,96,17,NA,NA,5.419999999999999,17,NA,NA,4.989999999999998,17,0,NA,0,1,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1477,1433,2,35,5,3,1,NA,33,5,1,NA,74,5,1,NA,3.6599999999999993,5,1,NA,3.9999999999999996,5,1,NA,0,0,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1534,5373,2,49,29,1,1,NA,116,29,1,NA,124,29,1,NA,5.579999999999999,29,1,NA,4.749999999999999,29,1,NA,3.1392,1,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1554,2839,2,43,9,4,1,NA,167,9,1,NA,191,9,1,NA,8.17,9,1,NA,7.909999999999999,9,1,NA,5.0175,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1568,4652,2,24,19,3,1,NA,49,19,1,NA,95,19,1,NA,4.18,19,1,NA,3.599999999999999,19,1,NA,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1594,3942,2,47,3,6,1,NA,59,3,1,NA,120,3,1,NA,6.3999999999999995,3,1,NA,6.210000000000001,3,1,NA,0,0,13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1625,9306,2,45,17,7,1,NA,70,17,1,NA,143,17,1,NA,6.3500000000000005,17,1,NA,5.939999999999998,17,1,NA,0,1,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1644,10973,2,30,10,6,1,NA,135,10,1,NA,678,10,1,NA,8.25,10,1,NA,5.869999999999998,10,1,NA,3.3323,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1675,10074,2,72,29,6,NA,NA,19,29,NA,NA,106,29,NA,NA,3.55,29,NA,NA,3.7399999999999998,29,0,NA,0.7020000000000001,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1678,611,2,60,13,3,NA,NA,121,13,NA,NA,175,13,NA,NA,10.75,13,NA,NA,9.349999999999998,13,0,NA,4.149,0,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
