SUBJECT,HOUSEHOLD,SEX,AGE_YEAR,CONSUMPTION_DAY.x,WEEK_DAY,PREG_LACT.x,BREASTFEEDING.x,sum_VITA_RAE_mcg,CONSUMPTION_DAY.y,PREG_LACT.y,BREASTFEEDING.y,sum_FOLDFE_mcg,CONSUMPTION_DAY.x.x,PREG_LACT.x.x,BREASTFEEDING.x.x,sum_IRON_mg,CONSUMPTION_DAY.y.y,PREG_LACT.y.y,BREASTFEEDING.y.y,sum_ZINC_mg,CONSUMPTION_DAY,PREG_LACT,BREASTFEEDING,sum_VITB12_mcg,WEEKEND,adm2_,adm2_4,adm2_11,adm2_10,adm2_2,adm2_7,adm2_14,adm2_9,adm2_15,adm2_3,adm2_13,adm2_12,adm2_5,adm2_8,adm2_6,adm2_1
3242,4714,1,38,6,1,NA,NA,42,6,NA,NA,163,6,NA,NA,10.600000000000001,6,NA,NA,9.600000000000001,6,NA,NA,0.6525,1,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3255,7360,1,30,30,3,NA,NA,66,30,NA,NA,74,30,NA,NA,3.4299999999999997,30,NA,NA,3.13,30,NA,NA,0,0,15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3313,3794,1,55,17,7,NA,NA,79,17,NA,NA,130,17,NA,NA,7.070000000000001,17,NA,NA,5.539999999999998,17,NA,NA,1.35,1,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3379,5613,1,65,20,4,NA,NA,59,20,NA,NA,105,20,NA,NA,7.159999999999999,20,NA,NA,5.13,20,NA,NA,3.6,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3398,8362,1,60,30,3,NA,NA,42,30,NA,NA,132,30,NA,NA,9.87,30,NA,NA,6.73,30,NA,NA,0.909,0,15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3409,5929,1,65,17,2,NA,NA,15,17,NA,NA,36,17,NA,NA,2.0999999999999996,17,NA,NA,1.96,17,NA,NA,0,0,15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3420,8022,1,62,13,3,NA,NA,63,13,NA,NA,128,13,NA,NA,5.57,13,NA,NA,5.89,13,NA,NA,2.9898,0,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3425,11889,1,23,9,4,NA,NA,42,9,NA,NA,109,9,NA,NA,11.81,9,NA,NA,5.489999999999999,9,NA,NA,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3430,730,1,60,11,6,NA,NA,101,11,NA,NA,330,11,NA,NA,17.06,11,NA,NA,12.469999999999997,11,NA,NA,0.0945,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3447,1609,1,60,17,1,NA,NA,33,17,NA,NA,116,17,NA,NA,8.53,17,NA,NA,5.799999999999999,17,NA,NA,0.504,1,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3451,9017,1,65,9,4,NA,NA,50,9,NA,NA,69,9,NA,NA,7.2,9,NA,NA,3.5399999999999996,9,NA,NA,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3735,11702,1,75,23,7,NA,NA,71,23,NA,NA,403,23,NA,NA,29.24,23,NA,NA,15.49,23,NA,NA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3904,3923,1,60,4,6,NA,NA,54,4,NA,NA,179,4,NA,NA,8.2,4,NA,NA,6.919999999999999,4,NA,NA,1.6122,0,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3964,6032,1,60,25,2,NA,NA,35,25,NA,NA,268,25,NA,NA,28.21,25,NA,NA,15.399999999999999,25,NA,NA,0.675,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3996,10075,1,35,13,3,NA,NA,119,13,NA,NA,236,13,NA,NA,8.879999999999999,13,NA,NA,8.25,13,NA,NA,2.686500000000001,0,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4051,9136,1,26,6,1,NA,NA,27,6,NA,NA,278,6,NA,NA,10.339999999999998,6,NA,NA,6.459999999999998,6,NA,NA,11.5186,1,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4058,2711,1,30,1,1,NA,NA,237,1,NA,NA,229,1,NA,NA,10.95,1,NA,NA,7.3199999999999985,1,NA,NA,2.5065,1,13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
4091,2647,1,49,6,2,NA,NA,53,6,NA,NA,109,6,NA,NA,8.28,6,NA,NA,8.21,6,NA,NA,0,0,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4107,5429,1,31,13,1,NA,NA,77,13,NA,NA,160,13,NA,NA,9.84,13,NA,NA,9.79,13,NA,NA,0.5625,1,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4135,3140,1,50,8,7,NA,NA,683,8,NA,NA,264,8,NA,NA,18.63,8,NA,NA,10.240000000000002,8,NA,NA,2.2464,1,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4136,4881,1,18,17,4,NA,NA,55,17,NA,NA,59,17,NA,NA,2.7999999999999994,17,NA,NA,3.4799999999999995,17,NA,NA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4163,7890,1,19,12,7,NA,NA,717,12,NA,NA,174,12,NA,NA,13.260000000000003,12,NA,NA,8.23,12,NA,NA,0,1,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4206,11609,1,45,10,7,NA,NA,63,10,NA,NA,132,10,NA,NA,8.239999999999998,10,NA,NA,6.170000000000001,10,NA,NA,0.3357,1,15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4259,7100,1,64,28,4,NA,NA,33,28,NA,NA,119,28,NA,NA,10.78,28,NA,NA,8.02,28,NA,NA,1.809,0,13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
4297,2700,1,48,3,1,NA,NA,25,3,NA,NA,69,3,NA,NA,7.169999999999999,3,NA,NA,4.249999999999998,3,NA,NA,0.8694,1,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4331,34,1,47,19,3,NA,NA,295,19,NA,NA,165,19,NA,NA,12.56,19,NA,NA,8.809999999999999,19,NA,NA,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4368,8499,1,45,2,6,NA,NA,36,2,NA,NA,175,2,NA,NA,9.47,2,NA,NA,7.629999999999999,2,NA,NA,1.818,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4380,9572,1,52,17,1,NA,NA,370,17,NA,NA,256,17,NA,NA,9.179999999999998,17,NA,NA,7.899999999999999,17,NA,NA,2.3949000000000003,1,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4462,4386,1,60,4,7,NA,NA,125,4,NA,NA,172,4,NA,NA,6.69,4,NA,NA,5.389999999999999,4,NA,NA,1.2852,1,13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
4486,795,1,54,6,2,NA,NA,74,6,NA,NA,171,6,NA,NA,11.19,6,NA,NA,8.799999999999999,6,NA,NA,0.909,0,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4492,858,1,35,17,1,NA,NA,203,17,NA,NA,120,17,NA,NA,5.539999999999999,17,NA,NA,4.69,17,NA,NA,1.9440000000000002,1,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
