SUBJECT,HOUSEHOLD,SEX,AGE_YEAR,CONSUMPTION_DAY,sum_VITA_RAE_mcg,sum_FOLDFE_mcg,sum_IRON_mg,sum_ZINC_mg,WEEKEND,adm2_,adm2_9,adm2_4,adm2_14,adm2_15,adm2_11,adm2_10,adm2_12,adm2_2,adm2_7,adm2_1,adm2_3,adm2_8,adm2_13,adm2_5,adm2_6
1772,6988,1,45,18,143,37,2.88,1.7200000000000002,0,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1825,7841,1,38,17,76,110,4.939999999999999,5.249999999999999,0,15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1828,5959,2,47,8,63,98,5.439999999999999,5.389999999999999,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1829,11199,2,59,24,36,169,8.649999999999997,4.6,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1881,7973,1,24,3,35,249,9.36,7.169999999999999,0,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1883,4897,2,65,28,87,145,7.4399999999999995,5.3,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1903,391,2,44,2,72,105,6.94,5.119999999999999,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1913,4354,2,38,3,8,47,5.02,4.159999999999999,0,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1918,5265,2,76,29,100,280,17.259999999999998,9.129999999999997,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1925,8863,1,51,2,38,45,3.2599999999999993,2.7599999999999993,0,14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1939,5975,1,34,19,75,204,11.190000000000001,9.829999999999998,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1959,2207,1,34,27,96,228,13.790000000000001,6.549999999999999,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1990,2647,2,23,6,30,60,4.38,4.13,0,14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2010,10035,2,31,11,51,96,7.830000000000001,5.6000000000000005,0,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2014,9897,1,75,17,300,77,4.2299999999999995,3.1199999999999983,0,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2049,4386,2,22,4,106,135,5.159999999999999,4.1899999999999995,0,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2050,1131,1,52,31,54,107,8.909999999999998,5.449999999999998,0,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2085,3998,2,20,22,257,236,25.620000000000005,8.829999999999998,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2091,10586,2,40,8,42,136,7.7799999999999985,5.180000000000001,0,15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2113,3861,2,21,5,108,117,6.39,5.309999999999999,0,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2116,534,1,50,25,77,194,18.160000000000004,11.729999999999999,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2128,2833,2,30,22,170,123,6.640000000000001,5.91,0,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2194,3376,2,30,6,29,67,5.35,4.139999999999999,0,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2204,9347,1,27,23,108,234,9.53,8.689999999999998,0,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2215,7292,2,37,3,36,123,6.2799999999999985,7.069999999999998,0,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2223,10809,1,28,30,80,243,13.169999999999998,5.919999999999999,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2273,5270,1,56,10,75,154,9.249999999999998,8.889999999999997,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2274,11889,2,46,9,42,110,8.859999999999998,5.319999999999999,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2296,11806,1,28,16,83,135,7.459999999999999,5.01,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2322,4638,2,24,6,226,100,13.4,4.469999999999998,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
