SUBJECT,HOUSEHOLD,SEX,AGE_YEAR,CONSUMPTION_DAY,sum_VITA_RAE_mcg,sum_FOLDFE_mcg,sum_IRON_mg,sum_ZINC_mg,WEEKEND,adm2_,adm2_4,adm2_3,adm2_8,adm2_11,adm2_7,adm2_6,adm2_2,adm2_1,adm2_10,adm2_9,adm2_5
2061,4396,1,60,26,83,202,8.97,6.069999999999999,0,4,1,0,0,0,0,0,0,0,0,0,0
2069,4822,2,31,18,158,1300,9.23,4.159999999999999,0,6,0,0,0,0,0,1,0,0,0,0,0
2072,10129,1,55,15,94,63,7.01,4.17,0,11,0,0,0,1,0,0,0,0,0,0,0
2083,7897,1,60,12,36,77,7.890000000000001,5.369999999999999,0,10,0,0,0,0,0,0,0,0,1,0,0
2094,9419,2,80,27,29,2016,4.970000000000001,3.7099999999999986,0,6,0,0,0,0,0,1,0,0,0,0,0
2098,5805,2,65,2,63,97,2.86,2.0700000000000003,0,2,0,0,0,0,0,0,1,0,0,0,0
2146,1466,2,45,27,86,2747,8.59,5.79,0,1,0,0,0,0,0,0,0,1,0,0,0
2156,4403,2,82,6,210,396,18.49,9.620000000000001,0,3,0,1,0,0,0,0,0,0,0,0,0
2160,3087,1,77,20,6,45,2.3800000000000003,1.6,0,9,0,0,0,0,0,0,0,0,0,1,0
2169,97,1,30,2,54,108,5.959999999999998,4.209999999999999,0,2,0,0,0,0,0,0,1,0,0,0,0
2182,9660,1,55,20,23,1274,7.3,7.51,0,11,0,0,0,1,0,0,0,0,0,0,0
2193,6681,2,25,16,22,152,12.13,7.1899999999999995,0,6,0,0,0,0,0,1,0,0,0,0,0
2208,926,1,25,12,44,83,7.81,5.72,0,10,0,0,0,0,0,0,0,0,1,0,0
2261,4944,1,20,21,76,189,6.5200000000000005,3.3399999999999994,0,1,0,0,0,0,0,0,0,1,0,0,0
2266,658,2,60,22,26,1844,6.400000000000001,3.05,0,7,0,0,0,0,1,0,0,0,0,0,0
