SUBJECT,HOUSEHOLD,SEX,AGE_YEAR,CONSUMPTION_DAY,sum_ENERGY_kcal,WEEKEND,adm2_,adm2_4,adm2_11,adm2_10,adm2_2,adm2_7,adm2_14,adm2_9,adm2_15,adm2_3,adm2_13,adm2_12,adm2_5,adm2_8,adm2_6,adm2_1
10153,8268,1,80,30,1521,0,13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
10161,7436,1,51,3,1521,0,13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
10193,6157,1,46,30,2509,0,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10251,11371,1,55,18,2196,0,13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
10258,8781,1,29,27,2518,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
10295,2424,1,32,7,2485,1,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10305,2818,1,55,26,690,0,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
10311,1637,1,28,10,1886,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
10329,2150,1,46,30,1174,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
10333,10102,1,28,29,1652,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
10380,246,1,20,22,1721,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
10417,6291,1,63,17,1503,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10463,8434,1,35,23,2529,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10485,5728,1,55,8,1556,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
10507,3239,1,30,13,2401,0,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10542,314,1,71,13,1453,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
10586,5026,1,51,27,2433,0,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10613,2469,1,52,4,2276,0,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10632,1766,1,25,8,2483,0,15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10645,2515,1,39,2,1699,0,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10701,6094,1,49,2,1496,0,15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10816,4774,1,65,3,2523,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
10846,702,1,65,17,1354,0,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10974,3644,1,57,17,1990,0,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
11001,7388,1,29,27,594,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
11100,5070,1,32,27,1683,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
11114,4831,1,60,26,1802,0,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
11156,1403,1,47,13,3256,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
11191,10078,1,18,29,1463,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
11208,3819,1,27,17,1122,0,15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
11244,1840,1,27,29,941,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
11276,10898,1,30,8,1941,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11278,8758,1,60,30,1792,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
11280,11628,1,60,27,1633,0,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
11283,10257,1,35,2,2495,0,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11290,10760,1,27,27,2983,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
11299,7598,1,35,2,3167,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
11318,11531,1,62,4,1825,0,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11350,4598,1,19,28,1080,0,13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
11463,4047,1,26,6,3158,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
11473,1189,1,58,3,2185,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
11614,84,1,28,27,3460,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
11640,2068,1,65,10,2735,0,15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
11684,10883,1,47,29,1335,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
11720,4926,1,65,10,1476,0,15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
11725,7953,1,31,8,1679,0,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
