SUBJECT,HOUSEHOLD,SEX,AGE_YEAR,CONSUMPTION_DAY,sum_VITA_RAE_mcg,sum_FOLDFE_mcg,sum_IRON_mg,sum_ZINC_mg,sum_VITB12_mcg,WEEKEND,adm2_,adm2_9,adm2_3,adm2_1,adm2_8,adm2_5,adm2_7,adm2_2,adm2_4,adm2_6
5622,11667,1,40,28,7,164,17.41,12.549999999999999,0,0,1,0,0,1,0,0,0,0,0,0
5637,4271,1,30.1,21,8,254,28.83,19.350000000000005,0.9,0,3,0,1,0,0,0,0,0,0,0
5666,6606,1,25,1,46,117,10.230000000000002,6.42,0.4041,1,3,0,1,0,0,0,0,0,0,0
5668,7413,1,30,19,6,182,23.810000000000002,15.969999999999999,0,0,1,0,0,1,0,0,0,0,0,0
5691,9700,1,24,4,31,268,20.53,14.440000000000001,0,0,8,0,0,0,1,0,0,0,0,0
5718,2952,1,60,23,522,159,28.299999999999997,13.410000000000002,0,0,7,0,0,0,0,0,1,0,0,0
5721,3840,1,45,6,20,229,12.26,8.41,0.45,0,7,0,0,0,0,0,1,0,0,0
5744,11579,1,35,8,58,270,33.620000000000005,23.07,0,0,3,0,1,0,0,0,0,0,0,0
5752,11424,1,99,21,5,77,3.8099999999999996,3.17,0.2196,0,3,0,1,0,0,0,0,0,0,0
5767,9161,1,25,10,40,200,20.54,11.100000000000001,1.0413,0,4,0,0,0,0,0,0,0,1,0
5806,4153,1,42,5,24,63,7.1000000000000005,5.029999999999999,0.2961,0,5,0,0,0,0,1,0,0,0,0
5817,2749,1,66,27,2,199,20.87,14.48,1.26,0,3,0,1,0,0,0,0,0,0,0
5825,8181,1,36,3,133,191,42.589999999999996,11.569999999999999,1.2258,0,7,0,0,0,0,0,1,0,0,0
5864,6973,1,32,30,25,161,11.719999999999997,9.03,0,0,1,0,0,1,0,0,0,0,0,0
5868,9834,1,45,5,5,93,11,8.9,0,0,8,0,0,0,1,0,0,0,0,0
5902,4022,1,54,26,52,209,16.86,12.12,0.4203,0,2,0,0,0,0,0,0,1,0,0
5906,4235,1,19,26,25,249,13.340000000000002,9.2,0.54,0,3,0,1,0,0,0,0,0,0,0
5912,3254,1,25,26,8,101,7.66,6.58,0.3564,0,4,0,0,0,0,0,0,0,1,0
