SUBJECT,HOUSEHOLD,SEX,AGE_YEAR,CONSUMPTION_DAY,PREG_LACT,BREASTFEEDING,sum_ENERGY_kcal,WEEKEND,adm2_,adm2_3,adm2_8,adm2_11,adm2_6,adm2_9,adm2_2,adm2_4,adm2_1,adm2_10,adm2_7,adm2_5
7796,2805,1,63,26,NA,NA,1769,0,1,0,0,0,0,0,0,0,1,0,0,0
7801,7239,1,59,18,NA,NA,1870,0,1,0,0,0,0,0,0,0,1,0,0,0
7836,309,1,22,17,NA,NA,2742,0,5,0,0,0,0,0,0,0,0,0,0,1
7855,5866,1,32,15,NA,NA,1203,0,8,0,1,0,0,0,0,0,0,0,0,0
7860,4323,1,49,17,NA,NA,773,0,11,0,0,1,0,0,0,0,0,0,0,0
7873,601,1,23,26,NA,NA,3144,0,7,0,0,0,0,0,0,0,0,0,1,0
7902,2148,1,39,20,NA,NA,1170,0,9,0,0,0,0,1,0,0,0,0,0,0
7914,1466,1,46,27,NA,NA,1120,0,1,0,0,0,0,0,0,0,1,0,0,0
7920,3183,1,70,8,NA,NA,1107,0,10,0,0,0,0,0,0,0,0,1,0,0
8032,357,1,57,18,NA,NA,1700,0,8,0,1,0,0,0,0,0,0,0,0,0
8037,7869,1,20,20,NA,NA,1058,0,9,0,0,0,0,1,0,0,0,0,0,0
8100,6752,1,58,16,NA,NA,993,0,4,0,0,0,0,0,0,1,0,0,0,0
8106,798,1,42,19,NA,NA,1173,0,6,0,0,0,1,0,0,0,0,0,0,0
8115,11608,1,51,8,NA,NA,2649,0,6,0,0,0,1,0,0,0,0,0,0,0
8125,8974,1,53,26,NA,NA,2624,0,1,0,0,0,0,0,0,0,1,0,0,0
8173,3510,1,57,24,NA,NA,2482,0,4,0,0,0,0,0,0,1,0,0,0,0
8208,970,1,58,20,NA,NA,912,0,2,0,0,0,0,0,1,0,0,0,0,0
8315,953,1,50,7,NA,NA,1041,1,3,1,0,0,0,0,0,0,0,0,0,0
8316,4727,1,51,16,NA,NA,1885,0,4,0,0,0,0,0,0,1,0,0,0,0
8349,204,1,45,12,NA,NA,1638,0,1,0,0,0,0,0,0,0,1,0,0,0
8470,4858,1,39,16,NA,NA,2356,0,5,0,0,0,0,0,0,0,0,0,0,1
8536,6604,1,57,5,NA,NA,2321,0,3,1,0,0,0,0,0,0,0,0,0,0
8564,2801,1,36,25,NA,NA,1835,0,4,0,0,0,0,0,0,1,0,0,0,0
8615,785,1,49,2,NA,NA,2079,0,2,0,0,0,0,0,1,0,0,0,0,0
8658,6633,1,64,24,NA,NA,1592,0,7,0,0,0,0,0,0,0,0,0,1,0
8795,2453,1,42,9,NA,NA,988,0,1,0,0,0,0,0,0,0,1,0,0,0
8804,6292,1,46,12,NA,NA,643,0,8,0,1,0,0,0,0,0,0,0,0,0
8821,8705,1,20,16,NA,NA,2387,0,3,1,0,0,0,0,0,0,0,0,0,0
8840,940,1,62,20,NA,NA,3324,0,9,0,0,0,0,1,0,0,0,0,0,0
8870,2664,1,64,24,NA,NA,1337,0,4,0,0,0,0,0,0,1,0,0,0,0
8871,1125,1,66,25,NA,NA,733,0,1,0,0,0,0,0,0,0,1,0,0,0
8925,6390,1,74,26,NA,NA,887,0,6,0,0,0,1,0,0,0,0,0,0,0
8996,953,1,60,7,NA,NA,735,1,3,1,0,0,0,0,0,0,0,0,0,0
9006,5691,1,45,19,NA,NA,2104,0,11,0,0,1,0,0,0,0,0,0,0,0
9101,6274,1,44,5,NA,NA,2188,0,3,1,0,0,0,0,0,0,0,0,0,0
9147,8052,1,48,22,NA,NA,1500,0,7,0,0,0,0,0,0,0,0,0,1,0
9200,6555,1,44,24,NA,NA,1550,0,7,0,0,0,0,0,0,0,0,0,1,0
9233,11312,1,33,22,NA,NA,2021,0,6,0,0,0,1,0,0,0,0,0,0,0
9261,3396,1,70,15,NA,NA,1831,0,4,0,0,0,0,0,0,1,0,0,0,0
9267,2210,1,36,24,NA,NA,1500,0,8,0,1,0,0,0,0,0,0,0,0,0
9315,6967,1,40,19,NA,NA,829,0,9,0,0,0,0,1,0,0,0,0,0,0
9329,9685,1,29,16,NA,NA,821,0,5,0,0,0,0,0,0,0,0,0,0,1
9335,1303,1,46,17,NA,NA,2068,0,3,1,0,0,0,0,0,0,0,0,0,0
9369,10677,1,23,20,NA,NA,1129,0,9,0,0,0,0,1,0,0,0,0,0,0
9371,554,1,42,18,NA,NA,1466,0,8,0,1,0,0,0,0,0,0,0,0,0
9391,4501,1,18,26,NA,NA,1918,0,4,0,0,0,0,0,0,1,0,0,0,0
9427,4424,1,54,18,NA,NA,1892,0,4,0,0,0,0,0,0,1,0,0,0,0
9438,7963,1,51,21,NA,NA,1454,0,11,0,0,1,0,0,0,0,0,0,0,0
9515,10698,1,64,11,NA,NA,2543,0,10,0,0,0,0,0,0,0,0,1,0,0
9543,9610,1,35,15,NA,NA,2927,0,3,1,0,0,0,0,0,0,0,0,0,0
9555,7891,1,90,24,NA,NA,1505,0,9,0,0,0,0,1,0,0,0,0,0,0
9564,6611,1,53,19,NA,NA,1565,0,2,0,0,0,0,0,1,0,0,0,0,0
9653,3945,1,55,19,NA,NA,1143,0,11,0,0,1,0,0,0,0,0,0,0,0
9660,7346,1,60,24,NA,NA,1958,0,4,0,0,0,0,0,0,1,0,0,0,0
9694,4949,1,49,27,NA,NA,1354,0,10,0,0,0,0,0,0,0,0,1,0,0
9699,2087,1,49,21,NA,NA,2665,0,10,0,0,0,0,0,0,0,0,1,0,0
9718,9328,1,30,26,NA,NA,2686,0,4,0,0,0,0,0,0,1,0,0,0,0
9742,1257,1,42,28,NA,NA,1349,0,2,0,0,0,0,0,1,0,0,0,0,0
9887,9689,1,52,27,NA,NA,1946,0,10,0,0,0,0,0,0,0,0,1,0,0
9896,5432,1,25,18,NA,NA,1768,0,3,1,0,0,0,0,0,0,0,0,0,0
9965,8649,1,58,26,NA,NA,1774,0,1,0,0,0,0,0,0,0,1,0,0,0
9979,5006,1,26,17,NA,NA,1734,0,11,0,0,1,0,0,0,0,0,0,0,0
9992,10508,1,21,21,NA,NA,1717,0,9,0,0,0,0,1,0,0,0,0,0,0
10027,703,1,21,13,NA,NA,2249,0,1,0,0,0,0,0,0,0,1,0,0,0
10165,1704,1,21,11,NA,NA,849,0,1,0,0,0,0,0,0,0,1,0,0,0
10180,1850,1,26,27,NA,NA,1224,0,7,0,0,0,0,0,0,0,0,0,1,0
10225,8684,1,25,16,NA,NA,2073,0,5,0,0,0,0,0,0,0,0,0,0,1
10228,2142,1,25,20,NA,NA,1085,0,11,0,0,1,0,0,0,0,0,0,0,0
10274,5512,1,32,17,NA,NA,1900,0,5,0,0,0,0,0,0,0,0,0,0,1
10319,8982,1,65,28,NA,NA,908,0,2,0,0,0,0,0,1,0,0,0,0,0
10332,7717,1,60,10,NA,NA,1369,0,6,0,0,0,1,0,0,0,0,0,0,0
10398,6371,1,52,25,NA,NA,1989,0,4,0,0,0,0,0,0,1,0,0,0,0
10401,3130,1,34,27,NA,NA,2659,0,4,0,0,0,0,0,0,1,0,0,0,0
10406,2441,1,31,16,NA,NA,2624,0,5,0,0,0,0,0,0,0,0,0,0,1
10412,710,1,49,17,NA,NA,2382,0,5,0,0,0,0,0,0,0,0,0,0,1
10530,8202,1,43,20,NA,NA,1734,0,7,0,0,0,0,0,0,0,0,0,1,0
10545,7533,1,40,21,NA,NA,687,0,9,0,0,0,0,1,0,0,0,0,0,0
10626,1704,1,60,11,NA,NA,865,0,1,0,0,0,0,0,0,0,1,0,0,0
10636,6456,1,55,18,NA,NA,2667,0,11,0,0,1,0,0,0,0,0,0,0,0
10649,5640,1,27,19,NA,NA,468,0,6,0,0,0,1,0,0,0,0,0,0,0
10653,452,1,51,22,NA,NA,242,0,1,0,0,0,0,0,0,0,1,0,0,0
10663,1301,1,45,12,NA,NA,1371,0,8,0,1,0,0,0,0,0,0,0,0,0
10721,11821,1,34,14,NA,NA,2284,0,5,0,0,0,0,0,0,0,0,0,0,1
10858,183,1,24,27,NA,NA,1957,0,4,0,0,0,0,0,0,1,0,0,0,0
10880,10665,1,53,18,NA,NA,1396,0,1,0,0,0,0,0,0,0,1,0,0,0
10893,7129,1,19,15,NA,NA,1519,0,1,0,0,0,0,0,0,0,1,0,0,0
