SUBJECT,HOUSEHOLD,SEX,AGE_YEAR,CONSUMPTION_DAY,sum_ENERGY_kcal,WEEKEND,adm2_,adm2_3,adm2_8,adm2_11,adm2_6,adm2_9,adm2_2,adm2_4,adm2_1,adm2_10,adm2_7,adm2_5
27591,2852,1,51,16,1520,0,11,0,0,1,0,0,0,0,0,0,0,0
27661,8705,1,48,16,2493,0,3,1,0,0,0,0,0,0,0,0,0,0
27760,6609,1,25,16,1303,0,8,0,1,0,0,0,0,0,0,0,0,0
27793,7842,1,47,16,1972,0,5,0,0,0,0,0,0,0,0,0,0,1
27846,7377,1,67,21,948,0,8,0,1,0,0,0,0,0,0,0,0,0
27919,6117,1,34,18,1420,0,3,1,0,0,0,0,0,0,0,0,0,0
27994,9253,1,19,11,1175,0,10,0,0,0,0,0,0,0,0,1,0,0
28002,11821,1,75,14,2460,0,5,0,0,0,0,0,0,0,0,0,0,1
28033,1270,1,32,14,1782,0,4,0,0,0,0,0,0,1,0,0,0,0
28054,5818,1,75,11,1059,0,1,0,0,0,0,0,0,0,1,0,0,0
28059,10512,1,39,26,974,0,7,0,0,0,0,0,0,0,0,0,1,0
28107,8465,1,35,14,928,0,4,0,0,0,0,0,0,1,0,0,0,0
28136,7421,1,40,5,576,0,3,1,0,0,0,0,0,0,0,0,0,0
28144,3164,1,45,8,825,0,3,1,0,0,0,0,0,0,0,0,0,0
28145,1564,1,52,24,2365,0,4,0,0,0,0,0,0,1,0,0,0,0
28159,7776,1,49,19,2107,0,6,0,0,0,1,0,0,0,0,0,0,0
28195,7166,1,82,20,1490,0,2,0,0,0,0,0,1,0,0,0,0,0
28205,11569,1,36,16,1656,0,11,0,0,1,0,0,0,0,0,0,0,0
28223,7879,1,62,21,602,0,11,0,0,1,0,0,0,0,0,0,0,0
28316,5733,1,69,20,1834,0,11,0,0,1,0,0,0,0,0,0,0,0
28399,10129,1,29,15,1623,0,11,0,0,1,0,0,0,0,0,0,0,0
28466,5483,1,50,22,1744,0,7,0,0,0,0,0,0,0,0,0,1,0
28476,8522,1,40,5,2564,0,3,1,0,0,0,0,0,0,0,0,0,0
28514,6350,1,43,18,1245,0,7,0,0,0,0,0,0,0,0,0,1,0
28603,10892,1,45,7,1666,1,3,1,0,0,0,0,0,0,0,0,0,0
28695,9498,1,64,11,1175,0,10,0,0,0,0,0,0,0,0,1,0,0
28740,11809,1,66,10,692,0,10,0,0,0,0,0,0,0,0,1,0,0
28754,9990,1,74,15,720,0,1,0,0,0,0,0,0,0,1,0,0,0
28876,7053,1,30,18,2059,0,8,0,1,0,0,0,0,0,0,0,0,0
28896,6171,1,23,4,2039,0,6,0,0,0,1,0,0,0,0,0,0,0
28948,7149,1,20,15,1672,0,8,0,1,0,0,0,0,0,0,0,0,0
29011,10834,1,70,19,1698,0,9,0,0,0,0,1,0,0,0,0,0,0
29042,3696,1,79,27,2386,0,7,0,0,0,0,0,0,0,0,0,1,0
29069,5288,1,18,10,1670,0,6,0,0,0,1,0,0,0,0,0,0,0
29086,10280,1,40,2,3238,0,2,0,0,0,0,0,1,0,0,0,0,0
29107,4090,1,36,5,2814,0,6,0,0,0,1,0,0,0,0,0,0,0
29125,3682,1,45,7,1995,1,3,1,0,0,0,0,0,0,0,0,0,0
29165,4342,1,27,16,807,0,3,1,0,0,0,0,0,0,0,0,0,0
29270,6845,1,41,27,1942,0,4,0,0,0,0,0,0,1,0,0,0,0
29300,8371,1,64,6,1652,0,3,1,0,0,0,0,0,0,0,0,0,0
29309,1770,1,54,26,1589,0,6,0,0,0,1,0,0,0,0,0,0,0
29342,10109,1,40,13,2717,0,5,0,0,0,0,0,0,0,0,0,0,1
29354,6589,1,30,16,1320,0,3,1,0,0,0,0,0,0,0,0,0,0
29400,3462,1,63,11,1525,0,1,0,0,0,0,0,0,0,1,0,0,0
29483,7117,1,67,22,1229,0,6,0,0,0,1,0,0,0,0,0,0,0
29539,7732,1,19,8,1271,0,10,0,0,0,0,0,0,0,0,1,0,0
29599,7263,1,29,23,843,0,8,0,1,0,0,0,0,0,0,0,0,0
29681,9130,1,39,17,2350,0,11,0,0,1,0,0,0,0,0,0,0,0
29816,8392,1,65,14,1646,0,1,0,0,0,0,0,0,0,1,0,0,0
29891,4790,1,48,8,608,0,10,0,0,0,0,0,0,0,0,1,0,0
29897,4867,1,48,3,1153,0,3,1,0,0,0,0,0,0,0,0,0,0
29924,1534,1,63,21,1247,0,11,0,0,1,0,0,0,0,0,0,0,0
30101,1556,1,45,21,1664,0,10,0,0,0,0,0,0,0,0,1,0,0
30142,1878,1,37,7,2769,1,3,1,0,0,0,0,0,0,0,0,0,0
30247,8430,1,62,26,1903,0,10,0,0,0,0,0,0,0,0,1,0,0
30344,11541,1,55,16,612,0,11,0,0,1,0,0,0,0,0,0,0,0
30365,6011,1,34,7,2680,1,3,1,0,0,0,0,0,0,0,0,0,0
30399,6078,1,46,19,1530,0,11,0,0,1,0,0,0,0,0,0,0,0
30406,40,1,27,22,1088,0,9,0,0,0,0,1,0,0,0,0,0,0
30458,8096,1,51,28,858,0,11,0,0,1,0,0,0,0,0,0,0,0
30481,2993,1,35,21,609,0,5,0,0,0,0,0,0,0,0,0,0,1
30510,406,1,22,28,3005,0,11,0,0,1,0,0,0,0,0,0,0,0
30531,6423,1,54,8,1868,0,10,0,0,0,0,0,0,0,0,1,0,0
30608,3832,1,49,2,2599,0,2,0,0,0,0,0,1,0,0,0,0,0
30627,7256,1,65,5,2542,0,6,0,0,0,1,0,0,0,0,0,0,0
30636,1306,1,70,16,1442,0,5,0,0,0,0,0,0,0,0,0,0,1
30709,1471,1,63,23,1742,0,8,0,1,0,0,0,0,0,0,0,0,0
30722,4802,1,64,21,2075,0,5,0,0,0,0,0,0,0,0,0,0,1
30884,7279,1,49,15,871,0,8,0,1,0,0,0,0,0,0,0,0,0
30906,8444,1,63,30,2038,0,2,0,0,0,0,0,1,0,0,0,0,0
30913,6658,1,33,13,2417,0,1,0,0,0,0,0,0,0,1,0,0,0
30969,1217,1,25,26,1572,0,1,0,0,0,0,0,0,0,1,0,0,0
30978,8577,1,30,15,1392,0,11,0,0,1,0,0,0,0,0,0,0,0
30980,1794,1,63,23,1726,0,8,0,1,0,0,0,0,0,0,0,0,0
31003,10797,1,22,15,2722,0,4,0,0,0,0,0,0,1,0,0,0,0
31009,9777,1,40,19,715,0,6,0,0,0,1,0,0,0,0,0,0,0
31017,8916,1,45,7,2186,1,3,1,0,0,0,0,0,0,0,0,0,0
