SUBJECT,HOUSEHOLD,SEX,AGE_YEAR,CONSUMPTION_DAY,sum_ENERGY_kcal,WEEKEND,adm2_,adm2_1,adm2_5,adm2_2,adm2_8,adm2_4,adm2_7,adm2_6,adm2_3
19810,3940,1,35,22,2127,0,2,0,0,1,0,0,0,0,0
19832,5113,1,33,15,1806,0,3,0,0,0,0,0,0,0,1
19906,10758,1,55,29,2336,0,8,0,0,0,1,0,0,0,0
19966,5680,1,23,15,2067,0,4,0,0,0,0,1,0,0,0
20022,479,1,18,11,1519,0,3,0,0,0,0,0,0,0,1
20028,8561,1,46,23,1888,0,8,0,0,0,1,0,0,0,0
20084,3482,1,38,17,1930,0,3,0,0,0,0,0,0,0,1
20126,11567,1,36,19,1175,0,4,0,0,0,0,1,0,0,0
20181,11151,1,45,23,2212,0,2,0,0,1,0,0,0,0,0
20196,2050,1,40,22,2213,0,2,0,0,1,0,0,0,0,0
20237,9072,1,50,24,2198,0,7,0,0,0,0,0,1,0,0
20337,5477,1,53,14,2001,0,4,0,0,0,0,1,0,0,0
20370,6006,1,56,22,1624,0,4,0,0,0,0,1,0,0,0
20376,10048,1,23,16,1784,0,5,0,1,0,0,0,0,0,0
20382,1342,1,20,16,1981,0,5,0,1,0,0,0,0,0,0
20434,4427,1,40,19,3589,0,8,0,0,0,1,0,0,0,0
20441,429,1,42,15,1706,0,4,0,0,0,0,1,0,0,0
20487,9684,1,25,20,1880,0,2,0,0,1,0,0,0,0,0
20528,7074,1,40,19,1006,0,8,0,0,0,1,0,0,0,0
20546,11732,1,52,15,1996,0,6,0,0,0,0,0,0,1,0
20589,11627,1,74,20,1782,0,2,0,0,1,0,0,0,0,0
20611,5878,1,30,23,2054,0,2,0,0,1,0,0,0,0,0
20622,5411,1,32,11,3309,0,7,0,0,0,0,0,1,0,0
20735,1446,1,41,19,2429,0,7,0,0,0,0,0,1,0,0
20736,9846,1,55,3,1575,0,2,0,0,1,0,0,0,0,0
20752,7667,1,55,20,2048,0,2,0,0,1,0,0,0,0,0
20778,3575,1,18,29,2180,0,8,0,0,0,1,0,0,0,0
20783,9509,1,27,3,1607,0,5,0,1,0,0,0,0,0,0
20789,7046,1,48,25,2254,0,5,0,1,0,0,0,0,0,0
20814,9747,1,24,21,1607,0,3,0,0,0,0,0,0,0,1
20859,5771,1,22,21,1607,0,4,0,0,0,0,1,0,0,0
20906,4072,1,49,19,1690,0,4,0,0,0,0,1,0,0,0
21028,10900,1,20,20,712,0,2,0,0,1,0,0,0,0,0
