SUBJECT,HOUSEHOLD,SEX,AGE_YEAR,CONSUMPTION_DAY,sum_ENERGY_kcal,WEEKEND,adm2_,adm2_2,adm2_4,adm2_3,adm2_5,adm2_7,adm2_6,adm2_11,adm2_10,adm2_8,adm2_1,adm2_9
1663,9583,1,30,19,2653,0,11,0,0,0,0,0,0,1,0,0,0,0
1680,336,1,50,12,1897,0,4,0,1,0,0,0,0,0,0,0,0,0
1685,5896,1,18,11,2164,0,9,0,0,0,0,0,0,0,0,0,0,1
1708,2093,1,27,29,2256,0,6,0,0,0,0,0,1,0,0,0,0,0
1731,10839,1,26,12,1807,0,5,0,0,0,1,0,0,0,0,0,0,0
1849,3972,1,42,17,2064,0,10,0,0,0,0,0,0,0,1,0,0,0
1902,8540,1,65,25,1548,0,8,0,0,0,0,0,0,0,0,1,0,0
1934,8423,1,20,12,2562,0,3,0,0,1,0,0,0,0,0,0,0,0
1965,6697,1,55,27,2440,0,5,0,0,0,1,0,0,0,0,0,0,0
1998,8486,1,23,10,2423,0,3,0,0,1,0,0,0,0,0,0,0,0
2008,3608,1,19,13,2052,0,5,0,0,0,1,0,0,0,0,0,0,0
2130,10001,1,20,5,1976,0,2,1,0,0,0,0,0,0,0,0,0,0
2140,4899,1,60,24,1843,0,2,1,0,0,0,0,0,0,0,0,0,0
2184,3359,1,52,30,2672,0,4,0,1,0,0,0,0,0,0,0,0,0
2200,522,1,23,14,2106,0,9,0,0,0,0,0,0,0,0,0,0,1
2205,9057,1,52,29,1951,0,7,0,0,0,0,1,0,0,0,0,0,0
2249,1307,1,19,17,2289,0,4,0,1,0,0,0,0,0,0,0,0,0
2270,3787,1,35,14,2670,0,1,0,0,0,0,0,0,0,0,0,1,0
2272,3715,1,30,30,2502,0,3,0,0,1,0,0,0,0,0,0,0,0
2280,9446,1,26,26,2314,0,5,0,0,0,1,0,0,0,0,0,0,0
2287,1731,1,39,8,1746,0,2,1,0,0,0,0,0,0,0,0,0,0
2311,10668,1,45,22,2368,0,2,1,0,0,0,0,0,0,0,0,0,0
2327,2457,1,43,23,1969,0,11,0,0,0,0,0,0,1,0,0,0,0
2331,11874,1,59,26,2363,0,11,0,0,0,0,0,0,1,0,0,0,0
2348,2058,1,45,24,1884,0,11,0,0,0,0,0,0,1,0,0,0,0
2414,1574,1,24,19,2185,0,11,0,0,0,0,0,0,1,0,0,0,0
2415,1664,1,37,24,2335,0,5,0,0,0,1,0,0,0,0,0,0,0
2464,5757,1,60,26,2502,0,5,0,0,0,1,0,0,0,0,0,0,0
2510,7350,1,51,17,1935,0,4,0,1,0,0,0,0,0,0,0,0,0
2562,1140,1,20,26,2514,0,5,0,0,0,1,0,0,0,0,0,0,0
2570,9416,1,38,25,2352,0,2,1,0,0,0,0,0,0,0,0,0,0
2674,4827,1,40,9,2147,0,3,0,0,1,0,0,0,0,0,0,0,0
2694,11881,1,38,24,2551,0,2,1,0,0,0,0,0,0,0,0,0,0
2767,2528,1,45,4,1986,0,10,0,0,0,0,0,0,0,1,0,0,0
2769,1693,1,35,5,2067,0,2,1,0,0,0,0,0,0,0,0,0,0
2815,8131,1,35,8,1857,0,2,1,0,0,0,0,0,0,0,0,0,0
2851,5242,1,36,26,2122,0,11,0,0,0,0,0,0,1,0,0,0,0
2899,7147,1,60,13,2322,0,1,0,0,0,0,0,0,0,0,0,1,0
2908,7231,1,55,18,2172,0,4,0,1,0,0,0,0,0,0,0,0,0
2912,9248,1,26,11,2478,0,9,0,0,0,0,0,0,0,0,0,0,1
3013,5305,1,72,14,2121,0,5,0,0,0,1,0,0,0,0,0,0,0
3078,4683,1,22,24,2776,0,5,0,0,0,1,0,0,0,0,0,0,0
3098,1971,1,60,4,1992,0,10,0,0,0,0,0,0,0,1,0,0,0
3116,1796,1,50,2,1836,0,6,0,0,0,0,0,1,0,0,0,0,0
3132,3359,1,20,30,2321,0,4,0,1,0,0,0,0,0,0,0,0,0
3147,60,1,23,12,2473,0,3,0,0,1,0,0,0,0,0,0,0,0
3185,3214,1,65,13,3163,0,10,0,0,0,0,0,0,0,1,0,0,0
3224,11311,1,30,22,2194,0,8,0,0,0,0,0,0,0,0,1,0,0
3236,2784,1,50,21,1931,0,8,0,0,0,0,0,0,0,0,1,0,0
3274,4733,1,38,4,2203,0,9,0,0,0,0,0,0,0,0,0,0,1
3288,1716,1,35,28,2088,0,3,0,0,1,0,0,0,0,0,0,0,0
3304,6924,1,42,13,1924,0,11,0,0,0,0,0,0,1,0,0,0,0
3316,9718,1,22,18,2340,0,11,0,0,0,0,0,0,1,0,0,0,0
3325,5337,1,55,21,2482,0,1,0,0,0,0,0,0,0,0,0,1,0
3438,5331,1,35,16,2409,0,9,0,0,0,0,0,0,0,0,0,0,1
3448,11322,1,58,8,2318,0,2,1,0,0,0,0,0,0,0,0,0,0
3518,8375,1,48,15,1979,0,10,0,0,0,0,0,0,0,1,0,0,0
3533,9718,1,55,18,2566,0,11,0,0,0,0,0,0,1,0,0,0,0
3566,11492,1,34,10,2384,0,5,0,0,0,1,0,0,0,0,0,0,0
3611,834,1,28,20,2383,0,8,0,0,0,0,0,0,0,0,1,0,0
3727,8196,1,61,24,2612,0,6,0,0,0,0,0,1,0,0,0,0,0
3746,10107,1,50,24,2089,0,6,0,0,0,0,0,1,0,0,0,0,0
3756,9532,1,28,29,2308,0,3,0,0,1,0,0,0,0,0,0,0,0
3766,1177,1,85,2,1436,0,1,0,0,0,0,0,0,0,0,0,1,0
3852,1012,1,52,16,2146,0,9,0,0,0,0,0,0,0,0,0,0,1
3975,168,1,28,28,1988,0,1,0,0,0,0,0,0,0,0,0,1,0
4003,5020,1,32,24,1990,0,8,0,0,0,0,0,0,0,0,1,0,0
4004,7601,1,62,29,2872,0,5,0,0,0,1,0,0,0,0,0,0,0
4039,11388,1,33,6,1505,0,2,1,0,0,0,0,0,0,0,0,0,0
4095,4080,1,45,7,2372,1,2,1,0,0,0,0,0,0,0,0,0,0
4186,8953,1,44,4,2015,0,9,0,0,0,0,0,0,0,0,0,0,1
4219,6251,1,61,18,2371,0,9,0,0,0,0,0,0,0,0,0,0,1
4220,4104,1,34,22,2696,0,2,1,0,0,0,0,0,0,0,0,0,0
4227,8525,1,40,17,2467,0,4,0,1,0,0,0,0,0,0,0,0,0
4228,10619,1,25,12,2185,0,9,0,0,0,0,0,0,0,0,0,0,1
4441,2009,1,40,27,1715,0,3,0,0,1,0,0,0,0,0,0,0,0
4555,1712,1,60,25,2900,0,5,0,0,0,1,0,0,0,0,0,0,0
4598,9712,1,32,25,1868,0,8,0,0,0,0,0,0,0,0,1,0,0
4611,4532,1,45,22,2133,0,1,0,0,0,0,0,0,0,0,0,1,0
4631,3517,1,55,30,2857,0,1,0,0,0,0,0,0,0,0,0,1,0
4666,7543,1,25,21,2438,0,1,0,0,0,0,0,0,0,0,0,1,0
4669,306,1,61,29,1468,0,6,0,0,0,0,0,1,0,0,0,0,0
4830,7148,1,65,27,2354,0,5,0,0,0,1,0,0,0,0,0,0,0
4862,11613,1,20,18,2441,0,7,0,0,0,0,1,0,0,0,0,0,0
