SUBJECT,HOUSEHOLD,SEX,AGE_YEAR,CONSUMPTION_DAY,sum_ENERGY_kcal,WEEKEND,adm2_,adm2_9,adm2_3,adm2_1,adm2_8,adm2_5,adm2_7,adm2_2,adm2_4,adm2_6
106,3882,1,31,20,2307,0,9,1,0,0,0,0,0,0,0,0
132,11122,1,65,3,2318,0,9,1,0,0,0,0,0,0,0,0
191,10510,1,72,25,1852,0,3,0,1,0,0,0,0,0,0,0
200,11088,1,24,8,2078,0,1,0,0,1,0,0,0,0,0,0
203,9214,1,80,14,1603,0,9,1,0,0,0,0,0,0,0,0
250,7904,1,22,10,2163,0,8,0,0,0,1,0,0,0,0,0
292,11440,1,22,16,1892,0,5,0,0,0,0,1,0,0,0,0
326,11130,1,40,9,2482,0,7,0,0,0,0,0,1,0,0,0
339,10085,1,38,1,2581,1,1,0,0,1,0,0,0,0,0,0
391,9534,1,35,22,2950,0,2,0,0,0,0,0,0,1,0,0
445,3722,1,22,5,2232,0,8,0,0,0,1,0,0,0,0,0
451,4445,1,45,6,1689,0,4,0,0,0,0,0,0,0,1,0
515,8912,1,40,20,1861,0,9,1,0,0,0,0,0,0,0,0
524,3790,1,63,25,801,0,5,0,0,0,0,1,0,0,0,0
534,787,1,70,30,2388,0,4,0,0,0,0,0,0,0,1,0
536,11527,1,70,21,1362,0,3,0,1,0,0,0,0,0,0,0
614,10333,1,75,15,1455,0,8,0,0,0,1,0,0,0,0,0
619,10626,1,52,5,3096,0,5,0,0,0,0,1,0,0,0,0
673,8345,1,37,9,1689,0,8,0,0,0,1,0,0,0,0,0
686,9725,1,20,16,3467,0,1,0,0,1,0,0,0,0,0,0
705,8940,1,19,10,595,0,8,0,0,0,1,0,0,0,0,0
707,3722,1,18,5,2381,0,8,0,0,0,1,0,0,0,0,0
781,154,1,67,18,1500,0,5,0,0,0,0,1,0,0,0,0
807,11214,1,45,14,2584,0,6,0,0,0,0,0,0,0,0,1
916,5401,1,26,31,2460,0,7,0,0,0,0,0,1,0,0,0
960,959,1,80,6,778,0,4,0,0,0,0,0,0,0,1,0
996,307,1,32,4,3509,0,4,0,0,0,0,0,0,0,1,0
